m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 1.8810345E+000, 2.2643790E+002, 2.1180111E+002, 1.0461668E+000, 1.3742398E+000, 1.1221027E+000, 6.5592738E-001, 1.6160182E-004, 9.4217723E-004, 1.8164853E-001, 2.0741371E+002, 1.8328589E+002, 1.9253426E+002, 1.6680237E+002, 6.3877022E+001, 8.7388449E+001
 1.9827586E+000, 2.2643790E+002, 2.1180111E+002, 1.0095290E+000, 1.3742398E+000, 1.1221027E+000, 6.5592738E-001, 1.6160182E-004, 9.4217723E-004, 1.8164853E-001, 2.0741371E+002, 1.8328589E+002, 1.9253426E+002, 1.6680237E+002, 6.3877022E+001, 8.7388449E+001
 2.0844828E+000, 2.2499351E+002, 2.1323778E+002, 9.7622934E-001, 1.3151202E+000, 7.3846263E-001, 6.4881966E-001, 1.6346932E-004, 9.5306520E-004, 1.8134919E-001, 2.1269214E+002, 1.8933754E+002, 1.9744464E+002, 1.7529479E+002, 7.1892581E+001, 6.9744015E+001
 2.1862069E+000, 2.2556811E+002, 2.1636854E+002, 9.7622934E-001, 1.2386042E+000, 4.8684736E-001, 6.4265515E-001, 1.6580415E-004, 9.6667781E-004, 1.8097489E-001, 2.1269214E+002, 1.8933754E+002, 1.9744464E+002, 1.7529479E+002, 7.1892581E+001, 6.9744015E+001
 2.2879310E+000, 2.2556811E+002, 2.1636854E+002, 9.0218282E-001, 1.2386042E+000, 4.8684736E-001, 6.4265515E-001, 1.6580415E-004, 9.6667781E-004, 1.8097489E-001, 2.1595188E+002, 1.8801358E+002, 2.0268818E+002, 1.8282884E+002, 7.1892581E+001, 6.9744015E+001
 2.3896552E+000, 2.2827017E+002, 2.2118004E+002, 9.0218282E-001, 1.1672860E+000, 3.2400042E-001, 6.3626846E-001, 1.6888087E-004, 9.8461580E-004, 1.8048162E-001, 2.1992799E+002, 1.8566123E+002, 2.0844902E+002, 1.8507995E+002, 7.5106743E+001, 6.9039235E+001
 2.4913793E+000, 2.2827017E+002, 2.2118004E+002, 8.1811988E-001, 1.1672860E+000, 3.2400042E-001, 6.3626846E-001, 1.6888087E-004, 9.8461580E-004, 1.8048162E-001, 2.1992799E+002, 1.8566123E+002, 2.0844902E+002, 1.8507995E+002, 7.5106743E+001, 6.9039235E+001
 2.5931034E+000, 2.3272806E+002, 2.2824737E+002, 7.2511155E-001, 1.2369361E+000, 2.3586282E-001, 6.2899370E-001, 1.7311392E-004, 1.0092955E-003, 1.7980294E-001, 2.2349185E+002, 1.8613459E+002, 2.1630578E+002, 1.9563799E+002, 7.6270364E+001, 7.2632326E+001
 2.6948276E+000, 2.3963220E+002, 2.3800418E+002, 7.2511155E-001, 1.3545665E+000, 1.7678773E-001, 6.1744034E-001, 1.7969211E-004, 1.0476479E-003, 1.7874825E-001, 2.2349185E+002, 1.8613459E+002, 2.1630578E+002, 1.9563799E+002, 7.6270364E+001, 7.2632326E+001
 2.7965517E+000, 2.3963220E+002, 2.3800418E+002, 4.7206311E-001, 1.3545665E+000, 1.7678773E-001, 6.1744034E-001, 1.7969211E-004, 1.0476479E-003, 1.7874825E-001, 2.2791094E+002, 1.9145680E+002, 2.2721454E+002, 2.0175302E+002, 7.6270364E+001, 7.2632326E+001
 2.8982759E+000, 2.4747522E+002, 2.4894101E+002, 4.7206311E-001, 1.8304197E+000, 1.3500396E-001, 5.9970867E-001, 1.8903719E-004, 1.1021320E-003, 1.7724994E-001, 2.3183441E+002, 2.0017060E+002, 2.3907764E+002, 2.1470865E+002, 7.9204414E+001, 7.4920927E+001
 2.9983333E+000, 2.4747522E+002, 2.4894101E+002, 0.0000000E+000, 1.8304197E+000, 1.3500396E-001, 5.9970867E-001, 1.8903719E-004, 1.1021320E-003, 1.7724994E-001, 2.3183441E+002, 2.0017060E+002, 2.3907764E+002, 2.1470865E+002, 7.9204414E+001, 7.4920927E+001
