C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 8.7456333E+002, 7.3876600E+002, 5.6494645E+002, 2.1904781E+002, 9.6267216E+001, 4.5358783E+001, 4.0780100E+001, 3.9781872E+001, 3.9136944E+001, 3.8238598E+001, 3.7999973E+001, 3.7879983E+001, 3.7760891E+001, 3.7587422E+001, 3.6879963E+001, 2.0000000E+001, 0.0000000E+000
 2.5879432E+002, 1.8262443E+002, 1.2796384E+002, 6.7388537E+001, 5.5952200E+001, 5.0818425E+001, 4.5514423E+001, 4.3658611E+001, 4.2302088E+001, 4.0718793E+001, 4.0334980E+001, 3.9814128E+001, 3.9534209E+001, 3.8942052E+001, 3.7134339E+001, 6.1279700E+001, 0.0000000E+000
 1.8161821E+002, 1.3703996E+002, 1.0783619E+002, 7.3569604E+001, 6.5576678E+001, 6.0134965E+001, 5.1838967E+001, 4.8602883E+001, 4.6073829E+001, 4.3376499E+001, 4.2839192E+001, 4.1953012E+001, 4.1358094E+001, 4.0398746E+001, 3.7775484E+001, 6.3270483E+001, 0.0000000E+000
 1.5703218E+002, 1.2852179E+002, 1.1060375E+002, 8.6914423E+001, 8.0366379E+001, 7.4580441E+001, 6.3454392E+001, 5.8448734E+001, 5.4055545E+001, 4.8393892E+001, 4.6917737E+001, 4.5131898E+001, 4.4058076E+001, 4.2516857E+001, 3.8759882E+001, 6.5384954E+001, 0.0000000E+000
 1.4419790E+002, 1.2839109E+002, 1.1844731E+002, 1.0543411E+002, 1.0168825E+002, 9.7984340E+001, 9.0071199E+001, 8.5050140E+001, 7.9527370E+001, 6.8244221E+001, 6.3238068E+001, 5.5358148E+001, 5.2015752E+001, 4.8474789E+001, 4.0833718E+001, 6.7121234E+001, 0.0000000E+000
 1.4239479E+002, 1.2976208E+002, 1.2132064E+002, 1.1069792E+002, 1.0728463E+002, 1.0400752E+002, 9.7579037E+001, 9.3753306E+001, 8.9618207E+001, 7.9669146E+001, 7.4129038E+001, 6.3818766E+001, 5.8765056E+001, 5.3472286E+001, 4.2185108E+001, 7.0037899E+001, 0.0000000E+000
 1.4217371E+002, 1.3152104E+002, 1.2429246E+002, 1.1566756E+002, 1.1248820E+002, 1.0925642E+002, 1.0296876E+002, 9.9777062E+001, 9.6474954E+001, 8.8880273E+001, 8.4134902E+001, 7.3036792E+001, 6.6846471E+001, 5.9896531E+001, 4.4707630E+001, 7.2457608E+001, 0.0000000E+000
 1.4435271E+002, 1.3696000E+002, 1.3145481E+002, 1.2472007E+002, 1.2213582E+002, 1.1892895E+002, 1.1244617E+002, 1.0966842E+002, 1.0728945E+002, 1.0178072E+002, 9.8515988E+001, 9.0828493E+001, 8.5197278E+001, 7.7237738E+001, 5.5174554E+001, 8.2206718E+001, 0.0000000E+000
 1.4668703E+002, 1.4024584E+002, 1.3517514E+002, 1.2898882E+002, 1.2653203E+002, 1.2362297E+002, 1.1745317E+002, 1.1461911E+002, 1.1220614E+002, 1.0746216E+002, 1.0480939E+002, 9.8677406E+001, 9.4410358E+001, 8.7879605E+001, 6.5457885E+001, 8.7872435E+001, 0.0000000E+000
