Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 9.463E+00, 2.748E+02, 1.352E+02, 2.027E+02, 3.453E+01, 6.766E+01, 1.491E+02, 1.305E-02, 1.007E+02, 6.041E+00, 1.150E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.095E+03
    1, 6.486E+00, 2.877E+02, 1.412E+02, 2.138E+02, 3.605E+01, 7.450E+01, 1.460E+02, 1.176E-02, 1.027E+02, 2.624E+01, 6.057E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.095E+03
    2, 4.155E+00, 2.934E+02, 1.476E+02, 2.609E+02, 3.550E+01, 7.824E+01, 1.427E+02, 1.215E-02, 1.100E+02, 4.985E+00, 1.775E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.095E+03
    3, 1.209E+01, 2.622E+02, 1.328E+02, 2.105E+02, 3.454E+01, 5.897E+01, 1.509E+02, 1.318E-02, 8.791E+01, 4.946E+00, 1.404E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.095E+03
