Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 4.279E+00, 2.419E+02, 1.240E+02, 1.813E+02, 3.247E+01, 5.517E+01, 1.298E+02, 1.581E-02, 9.286E+01, 6.612E+00, 2.095E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.893E+02
    1, 7.071E+00, 2.171E+02, 1.134E+02, 1.626E+02, 3.154E+01, 5.259E+01, 1.319E+02, 1.576E-02, 8.617E+01, 2.308E+01, 6.393E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.893E+02
    2, 4.550E+00, 2.255E+02, 1.124E+02, 1.790E+02, 3.136E+01, 4.671E+01, 1.296E+02, 1.261E-02, 8.289E+01, 3.976E+00, 7.331E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.893E+02
    3, 1.250E+01, 1.925E+02, 1.007E+02, 1.383E+02, 2.859E+01, 3.489E+01, 1.377E+02, 1.158E-02, 6.675E+01, 3.969E+00, 1.734E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.893E+02
