C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 9.3369266E+002, 8.0907507E+002, 6.2431917E+002, 2.3038034E+002, 9.5401759E+001, 4.2619785E+001, 3.9422530E+001, 3.8875613E+001, 3.8581205E+001, 3.8264768E+001, 3.8202925E+001, 3.8237146E+001, 3.8221961E+001, 3.7975969E+001, 3.7219922E+001, 2.0000000E+001, 0.0000000E+000
 2.2426730E+002, 1.6223603E+002, 1.1685105E+002, 5.9046932E+001, 4.9103371E+001, 4.5760688E+001, 4.2121197E+001, 4.1094132E+001, 4.0462802E+001, 3.9647708E+001, 3.9501625E+001, 3.9498116E+001, 3.9453587E+001, 3.9068433E+001, 3.7268411E+001, 6.0124637E+001, 0.0000000E+000
 1.5339726E+002, 1.2412434E+002, 1.0000332E+002, 6.4970041E+001, 5.7916125E+001, 5.3707357E+001, 4.6170388E+001, 4.4005612E+001, 4.2485925E+001, 4.0614457E+001, 4.0155422E+001, 3.9656477E+001, 3.9517287E+001, 3.9216055E+001, 3.7669171E+001, 6.2185797E+001, 0.0000000E+000
 1.4217190E+002, 1.2357946E+002, 1.0708573E+002, 8.3006824E+001, 7.6510444E+001, 7.0308878E+001, 5.8028735E+001, 5.3243198E+001, 4.9521635E+001, 4.4356998E+001, 4.2824151E+001, 4.0899878E+001, 4.0245978E+001, 3.9773636E+001, 3.8184334E+001, 6.4376262E+001, 0.0000000E+000
 1.4171632E+002, 1.2886365E+002, 1.1869902E+002, 1.0864394E+002, 1.0534197E+002, 1.0157763E+002, 9.1851857E+001, 8.5701338E+001, 7.8575503E+001, 6.4478118E+001, 5.8562742E+001, 5.0731072E+001, 4.7769123E+001, 4.4773435E+001, 3.9981557E+001, 6.6359136E+001, 0.0000000E+000
 1.4062561E+002, 1.2874759E+002, 1.2101899E+002, 1.1321288E+002, 1.1007265E+002, 1.0769019E+002, 1.0154872E+002, 9.7432094E+001, 9.1918138E+001, 7.7290023E+001, 6.9907331E+001, 5.7844320E+001, 5.3706304E+001, 4.9319070E+001, 4.1083782E+001, 7.0034399E+001, 0.0000000E+000
 1.3946789E+002, 1.2934284E+002, 1.2385635E+002, 1.1715667E+002, 1.1451330E+002, 1.1231507E+002, 1.0680688E+002, 1.0395072E+002, 1.0028557E+002, 8.9008071E+001, 8.1759842E+001, 6.6959406E+001, 6.0544758E+001, 5.4738677E+001, 4.2687512E+001, 7.2443638E+001, 0.0000000E+000
 1.4011698E+002, 1.3404577E+002, 1.3048627E+002, 1.2599692E+002, 1.2467155E+002, 1.2280975E+002, 1.1593055E+002, 1.1232168E+002, 1.0886271E+002, 1.0252097E+002, 9.8617306E+001, 8.8733319E+001, 8.1046347E+001, 7.1361873E+001, 5.1855875E+001, 8.1665140E+001, 0.0000000E+000
 1.4174328E+002, 1.3703103E+002, 1.3353734E+002, 1.2988352E+002, 1.2869214E+002, 1.2686085E+002, 1.2050264E+002, 1.1727681E+002, 1.1403168E+002, 1.0731062E+002, 1.0384358E+002, 9.6233875E+001, 9.0048878E+001, 8.2595815E+001, 6.0946390E+001, 8.7373645E+001, 0.0000000E+000
 1.4374810E+002, 1.3936797E+002, 1.3683091E+002, 1.3434824E+002, 1.3340073E+002, 1.3147926E+002, 1.2506377E+002, 1.2188278E+002, 1.1865655E+002, 1.1312449E+002, 1.1070687E+002, 1.0444736E+002, 1.0003991E+002, 9.5667298E+001, 7.5436324E+001, 9.3011828E+001, 0.0000000E+000
 1.5060397E+002, 1.4685269E+002, 1.4571187E+002, 1.4328174E+002, 1.4284555E+002, 1.4184388E+002, 1.3682039E+002, 1.3391837E+002, 1.3099977E+002, 1.2607946E+002, 1.2324427E+002, 1.2025500E+002, 1.2041185E+002, 1.2095173E+002, 1.1638191E+002, 9.8191424E+001, 0.0000000E+000
 1.5494007E+002, 1.5121171E+002, 1.4905994E+002, 1.4683408E+002, 1.4644463E+002, 1.4600098E+002, 1.4252730E+002, 1.4039884E+002, 1.3812868E+002, 1.3335434E+002, 1.3046099E+002, 1.2795968E+002, 1.2921919E+002, 1.3015869E+002, 1.3152572E+002,NaN,NaN
 1.5822559E+002, 1.5541118E+002, 1.5324941E+002, 1.5010477E+002, 1.4995786E+002, 1.5002096E+002, 1.4775066E+002, 1.4639661E+002, 1.4471177E+002, 1.4089405E+002, 1.3761597E+002, 1.3544824E+002, 1.3636003E+002, 1.3724233E+002, 1.4225747E+002,NaN,NaN
 1.6363591E+002, 1.6146494E+002, 1.6011852E+002, 1.5768619E+002, 1.5737507E+002, 1.5720355E+002, 1.5663776E+002, 1.5559335E+002, 1.5436429E+002, 1.5240083E+002, 1.5089260E+002, 1.4819490E+002, 1.4858392E+002, 1.5192416E+002, 1.6131120E+002,NaN,NaN
 1.6582867E+002, 1.6371915E+002, 1.6254903E+002, 1.6066052E+002, 1.6026526E+002, 1.6009152E+002, 1.6019305E+002, 1.5946867E+002, 1.5842367E+002, 1.5705699E+002, 1.5620658E+002, 1.5457143E+002, 1.5402152E+002, 1.5717653E+002, 1.6393259E+002,NaN,NaN
 1.6785076E+002, 1.6558258E+002, 1.6412740E+002, 1.6316443E+002, 1.6255537E+002, 1.6272711E+002, 1.6332310E+002, 1.6342561E+002, 1.6247475E+002, 1.6080822E+002, 1.6097486E+002, 1.5996522E+002, 1.5878790E+002, 1.6141108E+002, 1.6596010E+002,NaN,NaN
 1.7143607E+002, 1.6929594E+002, 1.6793962E+002, 1.6715767E+002, 1.6705504E+002, 1.6683648E+002, 1.6699479E+002, 1.6751668E+002, 1.6749653E+002, 1.6711934E+002, 1.6822948E+002, 1.6884700E+002, 1.6787743E+002, 1.7138690E+002, 1.7699868E+002,NaN,NaN
 1.7310399E+002, 1.7098644E+002, 1.6942065E+002, 1.6842333E+002, 1.6879150E+002, 1.6854947E+002, 1.6862164E+002, 1.6927156E+002, 1.6942350E+002, 1.6973595E+002, 1.7082864E+002, 1.7221854E+002, 1.7185240E+002, 1.7659156E+002, 1.8484489E+002,NaN,NaN
 1.7490725E+002, 1.7254612E+002, 1.7086739E+002, 1.6988981E+002, 1.7024118E+002, 1.7011825E+002, 1.7040033E+002, 1.7103896E+002, 1.7127751E+002, 1.7212178E+002, 1.7302280E+002, 1.7536472E+002, 1.7599949E+002, 1.8239885E+002, 1.9296834E+002,NaN,NaN
 1.7778945E+002, 1.7537722E+002, 1.7393309E+002, 1.7301554E+002, 1.7297868E+002, 1.7276487E+002, 1.7353876E+002, 1.7441859E+002, 1.7516357E+002, 1.7615471E+002, 1.7717781E+002, 1.8158976E+002, 1.8540969E+002, 1.9413585E+002, 2.0526890E+002,NaN,NaN
 1.7941486E+002, 1.7672197E+002, 1.7538624E+002, 1.7456244E+002, 1.7436720E+002, 1.7422193E+002, 1.7528279E+002, 1.7629642E+002, 1.7698712E+002, 1.7805803E+002, 1.7914999E+002, 1.8428962E+002, 1.8926173E+002, 1.9813787E+002, 2.1009580E+002,NaN,NaN
 1.8147275E+002, 1.7883499E+002, 1.7717982E+002, 1.7615056E+002, 1.7586662E+002, 1.7581571E+002, 1.7696396E+002, 1.7794190E+002, 1.7866501E+002, 1.8028730E+002, 1.8167148E+002, 1.8705667E+002, 1.9255054E+002, 2.0114664E+002, 2.1299008E+002,NaN,NaN
 1.8510757E+002, 1.8301228E+002, 1.8115798E+002, 1.7978877E+002, 1.7978092E+002, 1.8003162E+002, 1.8113046E+002, 1.8190192E+002, 1.8263443E+002, 1.8444115E+002, 1.8637842E+002, 1.9264319E+002, 1.9728194E+002, 2.0559819E+002, 2.1545182E+002,NaN,NaN
 1.8806866E+002, 1.8585308E+002, 1.8355581E+002, 1.8225850E+002, 1.8231907E+002, 1.8286546E+002, 1.8368503E+002, 1.8453853E+002, 1.8537481E+002, 1.8742736E+002, 1.8913458E+002, 1.9488422E+002, 1.9982982E+002, 2.0810394E+002, 2.1643765E+002,NaN,NaN
 1.9203306E+002, 1.8990864E+002, 1.8755470E+002, 1.8510330E+002, 1.8497388E+002, 1.8583546E+002, 1.8683372E+002, 1.8746338E+002, 1.8837335E+002, 1.9076094E+002, 1.9219724E+002, 1.9763695E+002, 2.0300037E+002, 2.1046874E+002, 2.1728999E+002,NaN,NaN
