C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 9.3829347E+002, 8.4222294E+002, 7.0523948E+002, 3.8088052E+002, 2.3232412E+002, 1.1562225E+002, 5.0549602E+001, 4.7238643E+001, 4.5424210E+001, 4.3634717E+001, 4.3046161E+001, 4.2189170E+001, 4.1746014E+001, 4.1283650E+001, 4.0030956E+001, 2.0000000E+001, 0.0000000E+000
 3.5837082E+002, 2.7421305E+002, 2.0799028E+002, 1.1390878E+002, 8.6920403E+001, 6.9722669E+001, 5.4313420E+001, 5.1211580E+001, 4.9255715E+001, 4.6977107E+001, 4.6238800E+001, 4.5295897E+001, 4.4729159E+001, 4.3829731E+001, 4.1089040E+001, 6.8942718E+001, 0.0000000E+000
 2.5831306E+002, 2.0508745E+002, 1.6198795E+002, 1.0228546E+002, 8.7733599E+001, 7.6506577E+001, 6.1661281E+001, 5.7301497E+001, 5.4044075E+001, 4.9938414E+001, 4.8688433E+001, 4.7207915E+001, 4.6384792E+001, 4.5149605E+001, 4.1647553E+001, 7.1218265E+001, 0.0000000E+000
 2.1623062E+002, 1.7755521E+002, 1.4601863E+002, 1.0734925E+002, 9.7607054E+001, 8.8172921E+001, 7.4146856E+001, 6.8614358E+001, 6.3566797E+001, 5.6062509E+001, 5.3744226E+001, 5.0713277E+001, 4.9172619E+001, 4.7186966E+001, 4.2238865E+001, 7.3413149E+001, 0.0000000E+000
 1.8086960E+002, 1.5843671E+002, 1.4228674E+002, 1.2289908E+002, 1.1507639E+002, 1.0928718E+002, 1.0020098E+002, 9.5216368E+001, 8.9744200E+001, 7.8104430E+001, 7.2660647E+001, 6.3092118E+001, 5.8677384E+001, 5.3975560E+001, 4.4461467E+001, 7.5313253E+001, 0.0000000E+000
 1.7485894E+002, 1.5706325E+002, 1.4485073E+002, 1.2824064E+002, 1.2126109E+002, 1.1664013E+002, 1.0881801E+002, 1.0494865E+002, 1.0088578E+002, 9.0702401E+001, 8.4770104E+001, 7.2984279E+001, 6.6886131E+001, 6.0122362E+001, 4.6307554E+001, 7.8883937E+001, 0.0000000E+000
 1.7174386E+002, 1.5751630E+002, 1.4797578E+002, 1.3324370E+002, 1.2719955E+002, 1.2303346E+002, 1.1552811E+002, 1.1234410E+002, 1.0912824E+002, 1.0151404E+002, 9.6444506E+001, 8.4013176E+001, 7.6788756E+001, 6.8164612E+001, 4.9155525E+001, 8.1968602E+001, 0.0000000E+000
 1.7183594E+002, 1.6246275E+002, 1.5379759E+002, 1.4119741E+002, 1.3643840E+002, 1.3284288E+002, 1.2696219E+002, 1.2449676E+002, 1.2217714E+002, 1.1711811E+002, 1.1393089E+002, 1.0594735E+002, 9.9589268E+001, 8.9656739E+001, 6.0651631E+001, 9.1927255E+001, 0.0000000E+000
 1.7260400E+002, 1.6398782E+002, 1.5558692E+002, 1.4445262E+002, 1.4022554E+002, 1.3708393E+002, 1.3192418E+002, 1.2964787E+002, 1.2756922E+002, 1.2368755E+002, 1.2124443E+002, 1.1545908E+002, 1.1031569E+002, 1.0153101E+002, 7.1027205E+001, 9.7836889E+001, 0.0000000E+000
 1.7422370E+002, 1.6573334E+002, 1.5813410E+002, 1.4829005E+002, 1.4457062E+002, 1.4202408E+002, 1.3721971E+002, 1.3515458E+002, 1.3318502E+002, 1.3010015E+002, 1.2841979E+002, 1.2410120E+002, 1.2027552E+002, 1.1344761E+002, 8.5843080E+001, 1.0307514E+002, 0.0000000E+000
 1.7670772E+002, 1.6983135E+002, 1.6500785E+002, 1.5709860E+002, 1.5378451E+002, 1.5156471E+002, 1.4781787E+002, 1.4598699E+002, 1.4458518E+002, 1.4285473E+002, 1.4230943E+002, 1.4124168E+002, 1.4047681E+002, 1.3887936E+002, 1.2341631E+002, 1.0726085E+002, 0.0000000E+000
 1.7849287E+002, 1.7229858E+002, 1.6813642E+002, 1.6139654E+002, 1.5843927E+002, 1.5623373E+002, 1.5280919E+002, 1.5123911E+002, 1.4997024E+002, 1.4898936E+002, 1.4859811E+002, 1.4896104E+002, 1.4986013E+002, 1.5007387E+002, 1.4325272E+002,NaN,NaN
 1.8068427E+002, 1.7508851E+002, 1.7099741E+002, 1.6520820E+002, 1.6284189E+002, 1.6063916E+002, 1.5732131E+002, 1.5607941E+002, 1.5513824E+002, 1.5470495E+002, 1.5482644E+002, 1.5612659E+002, 1.5773116E+002, 1.5926748E+002, 1.6101302E+002,NaN,NaN
 1.8391052E+002, 1.8007140E+002, 1.7656434E+002, 1.7137875E+002, 1.6962260E+002, 1.6810194E+002, 1.6608033E+002, 1.6584248E+002, 1.6558235E+002, 1.6507136E+002, 1.6501928E+002, 1.6725532E+002, 1.6884600E+002, 1.7210995E+002, 1.7993419E+002,NaN,NaN
 1.8558460E+002, 1.8240619E+002, 1.7921840E+002, 1.7455224E+002, 1.7291944E+002, 1.7176608E+002, 1.7015893E+002, 1.6998932E+002, 1.6962201E+002, 1.6946730E+002, 1.6941747E+002, 1.7108525E+002, 1.7232310E+002, 1.7590960E+002, 1.8307159E+002,NaN,NaN
 1.8743950E+002, 1.8461963E+002, 1.8179842E+002, 1.7751201E+002, 1.7604778E+002, 1.7504397E+002, 1.7391005E+002, 1.7381767E+002, 1.7335456E+002, 1.7327114E+002, 1.7360406E+002, 1.7531127E+002, 1.7589362E+002, 1.7992373E+002, 1.8569022E+002,NaN,NaN
 1.9094886E+002, 1.8836955E+002, 1.8610103E+002, 1.8251606E+002, 1.8167153E+002, 1.8108506E+002, 1.8064547E+002, 1.8094293E+002, 1.8086862E+002, 1.8149688E+002, 1.8282530E+002, 1.8557255E+002, 1.8492665E+002, 1.9014704E+002, 1.9718741E+002,NaN,NaN
 1.9244309E+002, 1.9013234E+002, 1.8807113E+002, 1.8469589E+002, 1.8385580E+002, 1.8350981E+002, 1.8348636E+002, 1.8381965E+002, 1.8405598E+002, 1.8508553E+002, 1.8680481E+002, 1.8985213E+002, 1.8972035E+002, 1.9607408E+002, 2.0528000E+002,NaN,NaN
 1.9403522E+002, 1.9175959E+002, 1.8974198E+002, 1.8665194E+002, 1.8577905E+002, 1.8544176E+002, 1.8565521E+002, 1.8616980E+002, 1.8652440E+002, 1.8810357E+002, 1.8994001E+002, 1.9359859E+002, 1.9441487E+002, 2.0185024E+002, 2.1245535E+002,NaN,NaN
 1.9717325E+002, 1.9476944E+002, 1.9290357E+002, 1.9031123E+002, 1.8926520E+002, 1.8876946E+002, 1.8941570E+002, 1.9025235E+002, 1.9091007E+002, 1.9307285E+002, 1.9495522E+002, 2.0093150E+002, 2.0494671E+002, 2.1296591E+002, 2.2097519E+002,NaN,NaN
 1.9893507E+002, 1.9662547E+002, 1.9482269E+002, 1.9216325E+002, 1.9116588E+002, 1.9067304E+002, 1.9115029E+002, 1.9186291E+002, 1.9258258E+002, 1.9538611E+002, 1.9729078E+002, 2.0384355E+002, 2.0909386E+002, 2.1680299E+002, 2.2471746E+002,NaN,NaN
 2.0090221E+002, 1.9880043E+002, 1.9698388E+002, 1.9397919E+002, 1.9295702E+002, 1.9246203E+002, 1.9279932E+002, 1.9336418E+002, 1.9416908E+002, 1.9710987E+002, 1.9936198E+002, 2.0606456E+002, 2.1197403E+002, 2.1923634E+002, 2.2648319E+002,NaN,NaN
 2.0542731E+002, 2.0325919E+002, 2.0133682E+002, 1.9831595E+002, 1.9712909E+002, 1.9649244E+002, 1.9660722E+002, 1.9697618E+002, 1.9773605E+002, 2.0105663E+002, 2.0354267E+002, 2.1040188E+002, 2.1617526E+002, 2.2284889E+002, 2.2846355E+002,NaN,NaN
 2.0770157E+002, 2.0567005E+002, 2.0377896E+002, 2.0067137E+002, 1.9956471E+002, 1.9879121E+002, 1.9878528E+002, 1.9915882E+002, 1.9991093E+002, 2.0312722E+002, 2.0552044E+002, 2.1226117E+002, 2.1778068E+002, 2.2428834E+002, 2.2933864E+002,NaN,NaN
 2.1030221E+002, 2.0862056E+002, 2.0692309E+002, 2.0364296E+002, 2.0240257E+002, 2.0141592E+002, 2.0140262E+002, 2.0171984E+002, 2.0240164E+002, 2.0536577E+002, 2.0755017E+002, 2.1408781E+002, 2.1943943E+002, 2.2571033E+002, 2.3006753E+002,NaN,NaN
