Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 7.318E+00, 2.395E+03, 1.230E+03, 1.618E+03, 3.463E+02, 3.967E+02, 1.086E+03, 3.381E-02, 9.450E+02, 4.650E+01, 1.407E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.213E+03
    1, 5.474E+01, 1.989E+03, 1.049E+03, 1.282E+03, 3.108E+02, 3.629E+02, 1.134E+03, 3.107E-02, 6.310E+02, 1.445E+02, 1.255E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.213E+03
    2, 2.011E+01, 2.203E+03, 1.126E+03, 1.648E+03, 3.254E+02, 3.645E+02, 1.099E+03, 3.774E-02, 7.977E+02, 4.369E+01, 5.856E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.213E+03
    3, 8.395E+01, 1.930E+03, 1.054E+03, 1.305E+03, 3.128E+02, 2.870E+02, 1.164E+03, 3.773E-02, 6.271E+02, 3.989E+01, 1.409E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.213E+03
