C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 8.6328029E+002, 7.2839945E+002, 5.6023159E+002, 2.1787707E+002, 9.5851481E+001, 4.4425472E+001, 4.0414633E+001, 3.9768849E+001, 3.9267357E+001, 3.8680808E+001, 3.8526224E+001, 3.8464895E+001, 3.8450456E+001, 3.8327044E+001, 3.7623075E+001, 2.0000000E+001, 0.0000000E+000
 2.1314591E+002, 1.6148592E+002, 1.2189622E+002, 6.8902473E+001, 5.5793640E+001, 4.8801625E+001, 4.4072645E+001, 4.2746848E+001, 4.1827608E+001, 4.1004810E+001, 4.0965582E+001, 4.1062221E+001, 4.0816922E+001, 4.0167876E+001, 3.7778146E+001, 6.1967654E+001, 0.0000000E+000
 1.5345838E+002, 1.2604801E+002, 1.0469785E+002, 7.4458378E+001, 6.4868016E+001, 5.8285486E+001, 5.0341390E+001, 4.7480258E+001, 4.5399955E+001, 4.3231057E+001, 4.2850332E+001, 4.2455754E+001, 4.2098817E+001, 4.1307981E+001, 3.8419822E+001, 6.3603089E+001, 0.0000000E+000
 1.4182899E+002, 1.2401617E+002, 1.0949183E+002, 8.6994379E+001, 7.8516386E+001, 7.2181535E+001, 6.1387364E+001, 5.6514747E+001, 5.2345264E+001, 4.7122605E+001, 4.5847683E+001, 4.4228982E+001, 4.3496015E+001, 4.2396839E+001, 3.8981504E+001, 6.5251569E+001, 0.0000000E+000
 1.4010512E+002, 1.2873001E+002, 1.1827263E+002, 1.0428943E+002, 9.9774815E+001, 9.5548930E+001, 8.6448099E+001, 8.1191396E+001, 7.5432553E+001, 6.3460079E+001, 5.8410134E+001, 5.1430891E+001, 4.8764432E+001, 4.6101599E+001, 4.0172710E+001, 6.6767743E+001, 0.0000000E+000
 1.4084842E+002, 1.3028879E+002, 1.2110148E+002, 1.0987887E+002, 1.0623343E+002, 1.0263854E+002, 9.5452801E+001, 9.1012587E+001, 8.6102036E+001, 7.4639452E+001, 6.8512627E+001, 5.7592570E+001, 5.3063693E+001, 4.8938550E+001, 4.1206404E+001, 6.9743107E+001, 0.0000000E+000
 1.4195635E+002, 1.3247427E+002, 1.2452306E+002, 1.1497512E+002, 1.1154510E+002, 1.0815323E+002, 1.0208635E+002, 9.8400517E+001, 9.4215913E+001, 8.4557139E+001, 7.8894007E+001, 6.6263838E+001, 5.9744175E+001, 5.3511853E+001, 4.2798772E+001, 7.1890206E+001, 0.0000000E+000
 1.4544937E+002, 1.3813448E+002, 1.3199612E+002, 1.2428465E+002, 1.2063693E+002, 1.1740054E+002, 1.1160336E+002, 1.0870757E+002, 1.0561134E+002, 9.8383766E+001, 9.4402275E+001, 8.4790922E+001, 7.8695921E+001, 7.0832598E+001, 5.1060650E+001, 8.1649942E+001, 0.0000000E+000
 1.4762059E+002, 1.4107764E+002, 1.3557309E+002, 1.2896773E+002, 1.2563293E+002, 1.2249951E+002, 1.1658152E+002, 1.1356413E+002, 1.1044676E+002, 1.0385733E+002, 1.0052076E+002, 9.2567893E+001, 8.7776374E+001, 8.1451526E+001, 6.0560811E+001, 8.7786834E+001, 0.0000000E+000
 1.4954326E+002, 1.4325430E+002, 1.3849254E+002, 1.3306286E+002, 1.3033029E+002, 1.2746004E+002, 1.2203319E+002, 1.1899610E+002, 1.1565660E+002, 1.0945870E+002, 1.0664748E+002, 1.0062804E+002, 9.6810241E+001, 9.2338063E+001, 7.3903614E+001, 9.3178248E+001, 0.0000000E+000
 1.5416787E+002, 1.4873340E+002, 1.4491279E+002, 1.4066919E+002, 1.3869793E+002, 1.3678957E+002, 1.3290886E+002, 1.3048211E+002, 1.2787451E+002, 1.2286600E+002, 1.2077006E+002, 1.1761482E+002, 1.1690944E+002, 1.1538912E+002, 1.0783155E+002, 9.7431805E+001, 0.0000000E+000
