m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 1.8810345E+000, 2.2780160E+002, 2.1484772E+002, 9.6928110E-001, 1.3042326E+000, 1.2021134E+000, 6.6383541E-001, 1.6244342E-004, 9.4708395E-004, 1.8151361E-001, 2.1230526E+002, 2.0075216E+002, 2.0164234E+002, 2.0403604E+002, 6.4944289E+001, 5.3395920E+001
 1.9827586E+000, 2.2780160E+002, 2.1484772E+002, 9.7258463E-001, 1.3042326E+000, 1.2021134E+000, 6.6383541E-001, 1.6244342E-004, 9.4708395E-004, 1.8151361E-001, 2.1230526E+002, 2.0075216E+002, 2.0164234E+002, 2.0403604E+002, 6.4944289E+001, 5.3395920E+001
 2.0844828E+000, 2.2795748E+002, 2.1734945E+002, 9.7539082E-001, 1.2989119E+000, 8.0474729E-001, 6.5442044E-001, 1.6536814E-004, 9.6413574E-004, 1.8104475E-001, 2.1594031E+002, 1.9714804E+002, 2.0535528E+002, 1.9944208E+002, 7.2221631E+001, 5.9872763E+001
 2.1862069E+000, 2.2941925E+002, 2.2089459E+002, 9.7539082E-001, 1.2550938E+000, 5.4019448E-001, 6.4746602E-001, 1.6810136E-004, 9.8007107E-004, 1.8060657E-001, 2.1594031E+002, 1.9714804E+002, 2.0535528E+002, 1.9944208E+002, 7.2221631E+001, 5.9872763E+001
 2.2879310E+000, 2.2941925E+002, 2.2089459E+002, 9.4744888E-001, 1.2550938E+000, 5.4019448E-001, 6.4746602E-001, 1.6810136E-004, 9.8007107E-004, 1.8060657E-001, 2.1876949E+002, 1.9760970E+002, 2.0924839E+002, 1.9934774E+002, 7.2221631E+001, 5.9872763E+001
 2.3896552E+000, 2.3200679E+002, 2.2533955E+002, 9.4744888E-001, 1.2375383E+000, 3.7054944E-001, 6.4167310E-001, 1.7099045E-004, 9.9691517E-004, 1.8014338E-001, 2.2216897E+002, 2.0249949E+002, 2.1338492E+002, 2.0534539E+002, 7.6488562E+001, 6.5218308E+001
 2.4913793E+000, 2.3200679E+002, 2.2533955E+002, 8.8594919E-001, 1.2375383E+000, 3.7054944E-001, 6.4167310E-001, 1.7099045E-004, 9.9691517E-004, 1.8014338E-001, 2.2216897E+002, 2.0249949E+002, 2.1338492E+002, 2.0534539E+002, 7.6488562E+001, 6.5218308E+001
 2.5931034E+000, 2.3687566E+002, 2.3274403E+002, 7.5127676E-001, 1.2463059E+000, 2.8484267E-001, 6.3390229E-001, 1.7551296E-004, 1.0232825E-003, 1.7941829E-001, 2.2608583E+002, 2.1028878E+002, 2.2008093E+002, 2.2108541E+002, 7.8514701E+001, 7.3452404E+001
 2.6948276E+000, 2.4460747E+002, 2.4325912E+002, 7.5127676E-001, 1.3763765E+000, 2.0906374E-001, 6.2216811E-001, 1.8239475E-004, 1.0634050E-003, 1.7831493E-001, 2.2608583E+002, 2.1028878E+002, 2.2008093E+002, 2.2108541E+002, 7.8514701E+001, 7.3452404E+001
 2.7965517E+000, 2.4460747E+002, 2.4325912E+002, 5.4413568E-001, 1.3763765E+000, 2.0906374E-001, 6.2216811E-001, 1.8239475E-004, 1.0634050E-003, 1.7831493E-001, 2.3136572E+002, 2.2045411E+002, 2.3086871E+002, 2.3657843E+002, 7.8514701E+001, 7.3452404E+001
 2.8982759E+000, 2.5459250E+002, 2.5665184E+002, 5.4413568E-001, 1.9119595E+000, 1.6468075E-001, 6.0199306E-001, 1.9342607E-004, 1.1277202E-003, 1.7654625E-001, 2.3594248E+002, 2.2899192E+002, 2.4485117E+002, 2.3695118E+002, 8.1657493E+001, 7.7586484E+001
 2.9983333E+000, 2.5459250E+002, 2.5665184E+002, 0.0000000E+000, 1.9119595E+000, 1.6468075E-001, 6.0199306E-001, 1.9342607E-004, 1.1277202E-003, 1.7654625E-001, 2.3594248E+002, 2.2899192E+002, 2.4485117E+002, 2.3695118E+002, 8.1657493E+001, 7.7586484E+001
