case,dy_tag,dy_m,target_time_s,actual_time_s,time_delta_s,slice_x_m,target_y_m,actual_y_m,n_points,l2_norm_C,rmse_C,max_abs_error_C
d_M5,dy00,0.0,0.0,0.0,0.0,8.132049560546875,1.45,1.4466666339586178,16,580.2683902891357,145.06709757228393,227.45762711864413
d_M5,dy00,0.0,10.0,10.01058292388916,0.010582923889160156,8.132049560546875,1.45,1.4466666339586178,16,452.83482808426743,113.20870702106686,163.20377362253274
d_M5,dy00,0.0,20.0,20.005002975463867,0.0050029754638671875,8.132049560546875,1.45,1.4466666339586178,16,477.6877419340853,119.42193548352132,362.7115139612499
d_M5,dy00,0.0,30.0,30.00124168395996,0.0012416839599609375,8.132049560546875,1.45,1.4466666339586178,16,1440.9943357759234,360.24858394398086,836.089860415276
d_M5,dy00,0.0,40.0,40.006187438964844,0.00618743896484375,8.132049560546875,1.45,1.4466666339586178,16,990.0553513894865,247.51383784737163,904.1925385818143
d_M5,dy00,0.0,50.0,50.00764846801758,0.007648468017578125,8.132049560546875,1.45,1.4466666339586178,16,845.3560969147421,211.33902422868553,840.1209714812912
d_M5,dy00,0.0,60.0,60.00835418701172,0.00835418701171875,8.132049560546875,1.45,1.4466666339586178,16,823.6236948204111,205.90592370510277,818.8812336209811
d_M5,dy00,0.0,70.0,70.00757598876953,0.00757598876953125,8.132049560546875,1.45,1.4466666339586178,16,719.3495967912562,179.83739919781405,715.0003836839691
d_M5,dy00,0.0,80.0,80.00468444824219,0.0046844482421875,8.132049560546875,1.45,1.4466666339586178,16,1061.5371598089569,265.3842899522392,811.5393324037814
d_M5,dy00,0.0,90.0,90.00244140625,0.00244140625,8.132049560546875,1.45,1.4466666339586178,16,851.8304384049073,212.95760960122684,840.9142276647889
d_M5,dy00,0.0,100.0,100.00980377197266,0.00980377197265625,8.132049560546875,1.45,1.4466666339586178,16,820.766971562868,205.191742890717,809.0973319573332
d_M5,dy00,0.0,110.0,110.0078125,0.0078125,8.132049560546875,1.45,1.4466666339586178,16,996.1626310547115,249.04065776367787,890.0077601517606
d_M5,dy00,0.0,120.0,120.00165557861328,0.00165557861328125,8.132049560546875,1.45,1.4466666339586178,16,846.1276448019479,211.53191120048697,828.7820986111589
d_M5,dy00,0.0,130.0,130.00535583496094,0.0053558349609375,8.132049560546875,1.45,1.4466666339586178,16,687.3773475813183,171.84433689532958,680.2485674523077
d_M5,dy00,0.0,140.0,140.0108184814453,0.0108184814453125,8.132049560546875,1.45,1.4466666339586178,16,381.01385571067425,95.25346392766856,346.2639394121986
d_M5,dy00,0.0,150.0,150.00213623046875,0.00213623046875,8.132049560546875,1.45,1.4466666339586178,16,925.2163282431633,231.30408206079082,915.4044594181255
d_M5,dy00,0.0,160.0,160.00363159179688,0.003631591796875,8.132049560546875,1.45,1.4466666339586178,16,807.4727069213245,201.86817673033113,584.8451497414728
d_M5,dy00,0.0,170.0,170.0038299560547,0.0038299560546875,8.132049560546875,1.45,1.4466666339586178,16,1128.670478721496,282.167619680374,883.2765349030966
d_M5,dy00,0.0,180.0,180.00369262695312,0.003692626953125,8.132049560546875,1.45,1.4466666339586178,16,965.8277053711763,241.45692634279408,927.0218925183793
d_M5,dy00,0.0,190.0,190.0024871826172,0.0024871826171875,8.132049560546875,1.45,1.4466666339586178,16,778.9442753433592,194.7360688358398,747.784049893909
d_M5,dy00,0.0,200.0,200.00721740722656,0.0072174072265625,8.132049560546875,1.45,1.4466666339586178,16,912.6798019034469,228.16995047586173,859.7078789967186
d_M5,dy00,0.0,210.0,210.00442504882812,0.004425048828125,8.132049560546875,1.45,1.4466666339586178,16,811.1324101015407,202.78310252538517,790.3279423196658
d_M5,dy00,0.0,220.0,220.0050811767578,0.0050811767578125,8.132049560546875,1.45,1.4466666339586178,16,580.5654034721026,145.14135086802565,572.3063569681145
d_M5,dy00,0.0,230.0,230.00802612304688,0.008026123046875,8.132049560546875,1.45,1.4466666339586178,16,637.6062208281417,159.40155520703541,560.3543501925463
d_M5,dy00,0.0,240.0,240.00572204589844,0.0057220458984375,8.132049560546875,1.45,1.4466666339586178,16,504.61193514532005,126.15298378633001,486.8404127997369
d_M5,dy00,0.0,250.0,250.005615234375,0.005615234375,8.132049560546875,1.45,1.4466666339586178,16,905.7636043204232,226.4409010801058,789.5786876798036
d_M5,dy00,0.0,260.0,260.0086975097656,0.008697509765625,8.132049560546875,1.45,1.4466666339586178,16,894.6596093455252,223.6649023363813,885.2226284036841
d_M5,dy00,0.0,270.0,270.0089416503906,0.008941650390625,8.132049560546875,1.45,1.4466666339586178,16,982.0888354056013,245.52220885140034,689.8575099062028
d_M5,dy00,0.0,280.0,280.01068115234375,0.01068115234375,8.132049560546875,1.45,1.4466666339586178,16,707.5439234288197,176.8859808572049,704.077996928204
d_M5,dy00,0.0,290.0,290.0057678222656,0.005767822265625,8.132049560546875,1.45,1.4466666339586178,16,702.2277270266399,175.55693175665996,698.8474709905158
d_M5,dy00,0.0,300.0,300.0,0.0,8.132049560546875,1.45,1.4466666339586178,16,677.2516655297605,169.31291638244014,666.5364757260618
dq_M5,dy00,0.0,0.0,0.0,0.0,8.132049560546875,1.45,1.4466666339586178,16,580.2683902891357,145.06709757228393,227.45762711864413
dq_M5,dy00,0.0,10.0,10.006834983825684,0.006834983825683594,8.132049560546875,1.45,1.4466666339586178,16,435.8299108708433,108.95747771771083,207.35393526118455
dq_M5,dy00,0.0,20.0,20.000368118286133,0.0003681182861328125,8.132049560546875,1.45,1.4466666339586178,16,651.4812602177484,162.8703150544371,512.725568719549
dq_M5,dy00,0.0,30.0,30.00543975830078,0.00543975830078125,8.132049560546875,1.45,1.4466666339586178,16,1611.1467045953286,402.78667614883216,978.4354225231319
dq_M5,dy00,0.0,40.0,40.00568771362305,0.005687713623046875,8.132049560546875,1.45,1.4466666339586178,16,989.7060075560261,247.42650188900652,933.6593462268908
dq_M5,dy00,0.0,50.0,50.007999420166016,0.007999420166015625,8.132049560546875,1.45,1.4466666339586178,16,1077.8263015480336,269.4565753870084,908.7698549616495
dq_M5,dy00,0.0,60.0,60.002803802490234,0.002803802490234375,8.132049560546875,1.45,1.4466666339586178,16,827.5356826284632,206.8839206571158,820.0142281919557
dq_M5,dy00,0.0,70.0,70.00408172607422,0.00408172607421875,8.132049560546875,1.45,1.4466666339586178,16,928.9527658838923,232.23819147097308,870.5921262976241
dq_M5,dy00,0.0,80.0,80.00511169433594,0.0051116943359375,8.132049560546875,1.45,1.4466666339586178,16,977.9720605613672,244.4930151403418,930.5294184068086
dq_M5,dy00,0.0,90.0,90.00167846679688,0.001678466796875,8.132049560546875,1.45,1.4466666339586178,16,927.341680073148,231.835420018287,894.7613096146398
dq_M5,dy00,0.0,100.0,100.00457000732422,0.00457000732421875,8.132049560546875,1.45,1.4466666339586178,16,884.1813635733381,221.04534089333453,847.4236363326144
dq_M5,dy00,0.0,110.0,110.00169372558594,0.0016937255859375,8.132049560546875,1.45,1.4466666339586178,16,826.7183933397037,206.6795983349259,820.095621017339
