m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 1.8810345E+000, 2.2962205E+002, 2.1715298E+002, 9.2667420E-001, 1.2910047E+000, 1.0241240E+000, 6.5723760E-001, 1.6039299E-004, 9.3512945E-004, 1.8184238E-001, 2.1274665E+002, 2.0767672E+002, 2.0333024E+002, 1.6840621E+002, 6.5452805E+001, 6.0140551E+001
 1.9827586E+000, 2.2962205E+002, 2.1715298E+002, 9.0466537E-001, 1.2910047E+000, 1.0241240E+000, 6.5723760E-001, 1.6039299E-004, 9.3512945E-004, 1.8184238E-001, 2.1274665E+002, 2.0767672E+002, 2.0333024E+002, 1.6840621E+002, 6.5452805E+001, 6.0140551E+001
 2.0844828E+000, 2.2917955E+002, 2.1947277E+002, 8.8563537E-001, 1.2453844E+000, 6.5508030E-001, 6.4996759E-001, 1.6274058E-004, 9.4881647E-004, 1.8146605E-001, 2.1700302E+002, 2.0598783E+002, 2.0717455E+002, 1.7397558E+002, 7.4756098E+001, 7.0527926E+001
 2.1862069E+000, 2.3014970E+002, 2.2247110E+002, 8.8563537E-001, 1.1833177E+000, 4.2886128E-001, 6.4563574E-001, 1.6471665E-004, 9.6033740E-004, 1.8114926E-001, 2.1700302E+002, 2.0598783E+002, 2.0717455E+002, 1.7397558E+002, 7.4756098E+001, 7.0527926E+001
 2.2879310E+000, 2.3014970E+002, 2.2247110E+002, 8.2810446E-001, 1.1833177E+000, 4.2886128E-001, 6.4563574E-001, 1.6471665E-004, 9.6033740E-004, 1.8114926E-001, 2.2027238E+002, 2.0639150E+002, 2.1048356E+002, 1.8126627E+002, 7.4756098E+001, 7.0527926E+001
 2.3896552E+000, 2.3236031E+002, 2.2674860E+002, 8.2810446E-001, 1.1532853E+000, 2.8787999E-001, 6.4039758E-001, 1.6742814E-004, 9.7614604E-004, 1.8071455E-001, 2.2385736E+002, 2.1224983E+002, 2.1438555E+002, 1.8845514E+002, 7.9149244E+001, 7.1078496E+001
 2.4913793E+000, 2.3236031E+002, 2.2674860E+002, 7.7037171E-001, 1.1532853E+000, 2.8787999E-001, 6.4039758E-001, 1.6742814E-004, 9.7614604E-004, 1.8071455E-001, 2.2385736E+002, 2.1224983E+002, 2.1438555E+002, 1.8845514E+002, 7.9149244E+001, 7.1078496E+001
 2.5931034E+000, 2.3679926E+002, 2.3328928E+002, 6.4629028E-001, 1.1556411E+000, 2.0178558E-001, 6.3254876E-001, 1.7166077E-004, 1.0008233E-003, 1.8003593E-001, 2.2797476E+002, 2.1173876E+002, 2.2131175E+002, 1.9689543E+002, 7.9789065E+001, 7.3622908E+001
 2.6948276E+000, 2.4493609E+002, 2.4377856E+002, 6.4629028E-001, 1.3015118E+000, 1.5297205E-001, 6.1917250E-001, 1.7900011E-004, 1.0436134E-003, 1.7885921E-001, 2.2797476E+002, 2.1173876E+002, 2.2131175E+002, 1.9689543E+002, 7.9789065E+001, 7.3622908E+001
 2.7965517E+000, 2.4493609E+002, 2.4377856E+002, 4.0758468E-001, 1.3015118E+000, 1.5297205E-001, 6.1917250E-001, 1.7900011E-004, 1.0436134E-003, 1.7885921E-001, 2.3264121E+002, 2.0804866E+002, 2.3195778E+002, 2.0264289E+002, 7.9789065E+001, 7.3622908E+001
 2.8982759E+000, 2.5384093E+002, 2.5497037E+002, 4.0758468E-001, 1.8161840E+000, 1.2164325E-001, 6.0228647E-001, 1.8811006E-004, 1.0967266E-003, 1.7739859E-001, 2.3590242E+002, 2.0350228E+002, 2.4359902E+002, 2.1008884E+002, 8.3685344E+001, 7.8373787E+001
 2.9983333E+000, 2.5384093E+002, 2.5497037E+002, 0.0000000E+000, 1.8161840E+000, 1.2164325E-001, 6.0228647E-001, 1.8811006E-004, 1.0967266E-003, 1.7739859E-001, 2.3590242E+002, 2.0350228E+002, 2.4359902E+002, 2.1008884E+002, 8.3685344E+001, 7.8373787E+001
