Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 1.410E+02, 1.158E+04, 5.093E+03, 8.790E+03, 3.254E+03, 2.188E+03, 5.719E+03, 1.347E-01, 4.053E+03, 2.493E+02, 3.867E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.493E+04
    1, 1.293E+02, 1.099E+04, 5.173E+03, 8.441E+03, 3.406E+03, 2.774E+03, 5.659E+03, 1.364E-01, 3.738E+03, 2.557E+02, 4.359E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.493E+04
    2, 2.323E+02, 1.018E+04, 4.154E+03, 6.846E+03, 3.216E+03, 1.730E+03, 5.779E+03, 1.542E-01, 3.298E+03, 5.861E+02, 8.910E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.493E+04
    3, 2.020E+02, 1.051E+04, 4.550E+03, 8.061E+03, 3.009E+03, 1.388E+03, 5.721E+03, 1.296E-01, 3.198E+03, 2.654E+02, 8.028E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.493E+04
    4, 1.117E+02, 1.037E+04, 5.165E+03, 8.536E+03, 3.352E+03, 3.023E+03, 5.487E+03, 1.686E-01, 4.154E+03, 2.971E+02, 4.431E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.493E+04
    5, 5.268E+01, 8.116E+03, 5.734E+03, 9.668E+03, 2.483E+03, 3.983E+03, 5.390E+03, 1.671E-01, 5.180E+03, 3.557E+02, 3.968E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.493E+04
    6, 1.497E+02, 1.068E+04, 4.563E+03, 6.957E+03, 2.513E+03, 2.494E+03, 5.461E+03, 1.489E-01, 3.806E+03, 2.464E+02, 8.062E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.493E+04
    7, 1.131E+02, 1.169E+04, 5.004E+03, 8.595E+03, 3.442E+03, 2.241E+03, 5.235E+03, 1.523E-01, 3.863E+03, 2.581E+02, 4.489E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.493E+04
    8, 8.637E+01, 9.207E+03, 5.682E+03, 9.447E+03, 2.301E+03, 3.591E+03, 5.035E+03, 1.844E-01, 4.484E+03, 3.367E+02, 4.760E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.493E+04
    9, 1.931E+02, 9.369E+03, 6.115E+03, 1.313E+04, 1.340E+03, 2.242E+03, 5.384E+03, 2.033E-01, 4.173E+03, 5.335E+02, 2.449E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.493E+04
