C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 1.9419930E+002, 1.9198564E+002, 1.8939760E+002, 1.8703479E+002, 1.8665919E+002, 1.8607145E+002, 1.8576916E+002, 1.8632109E+002, 1.8652154E+002, 1.8796136E+002, 1.8960421E+002, 1.9360024E+002, 1.9500490E+002, 2.0224141E+002, 2.1215073E+002,NaN,NaN
 1.9681448E+002, 1.9479329E+002, 1.9256117E+002, 1.9019911E+002, 1.8988664E+002, 1.8968992E+002, 1.8978166E+002, 1.9024517E+002, 1.9093813E+002, 1.9317121E+002, 1.9492085E+002, 2.0081511E+002, 2.0503257E+002, 2.1294661E+002, 2.2084018E+002,NaN,NaN
 1.9789948E+002, 1.9600706E+002, 1.9419577E+002, 1.9197911E+002, 1.9148727E+002, 1.9126593E+002, 1.9149184E+002, 1.9189955E+002, 1.9278097E+002, 1.9524378E+002, 1.9704350E+002, 2.0344282E+002, 2.0882255E+002, 2.1651103E+002, 2.2467801E+002,NaN,NaN
 1.9911634E+002, 1.9735911E+002, 1.9584124E+002, 1.9381421E+002, 1.9322331E+002, 1.9290714E+002, 1.9327698E+002, 1.9380630E+002, 1.9466834E+002, 1.9686917E+002, 1.9871636E+002, 2.0540891E+002, 2.1138895E+002, 2.1885160E+002, 2.2652965E+002,NaN,NaN
 2.0194939E+002, 2.0035488E+002, 1.9920703E+002, 1.9750576E+002, 1.9692895E+002, 1.9665898E+002, 1.9693523E+002, 1.9757949E+002, 1.9827189E+002, 2.0029892E+002, 2.0223799E+002, 2.0931021E+002, 2.1537895E+002, 2.2208368E+002, 2.2860347E+002,NaN,NaN
 2.0401837E+002, 2.0244544E+002, 2.0140899E+002, 1.9977449E+002, 1.9929711E+002, 1.9880331E+002, 1.9897532E+002, 1.9963419E+002, 2.0032651E+002, 2.0256501E+002, 2.0446465E+002, 2.1123956E+002, 2.1704968E+002, 2.2345412E+002, 2.2949652E+002,NaN,NaN
 2.0719436E+002, 2.0528977E+002, 2.0399325E+002, 2.0254371E+002, 2.0205450E+002, 2.0148005E+002, 2.0142574E+002, 2.0188792E+002, 2.0263160E+002, 2.0487496E+002, 2.0673553E+002, 2.1324602E+002, 2.1880136E+002, 2.2502275E+002, 2.3026648E+002,NaN,NaN
 2.1607414E+002, 2.1409715E+002, 2.1222674E+002, 2.1043839E+002, 2.0987463E+002, 2.0937736E+002, 2.0881322E+002, 2.0891973E+002, 2.0938814E+002, 2.1128164E+002, 2.1290698E+002, 2.1839052E+002, 2.2292380E+002, 2.2824871E+002, 2.3155417E+002,NaN,NaN
 2.2297163E+002, 2.2105903E+002, 2.1940799E+002, 2.1714744E+002, 2.1634191E+002, 2.1569557E+002, 2.1503224E+002, 2.1487990E+002, 2.1497284E+002, 2.1615423E+002, 2.1740212E+002, 2.2206008E+002, 2.2586077E+002, 2.3031328E+002, 2.3202049E+002,NaN,NaN
 2.3216199E+002, 2.3030328E+002, 2.2871569E+002, 2.2602675E+002, 2.2502438E+002, 2.2427608E+002, 2.2338922E+002, 2.2300231E+002, 2.2277033E+002, 2.2276149E+002, 2.2330614E+002, 2.2655268E+002, 2.2929341E+002, 2.3239911E+002, 2.3227973E+002,NaN,NaN
 2.5415642E+002, 2.5229144E+002, 2.5052853E+002, 2.4736334E+002, 2.4590874E+002, 2.4453292E+002, 2.4228893E+002, 2.4131852E+002, 2.4039535E+002, 2.3864614E+002, 2.3777952E+002, 2.3653849E+002, 2.3625563E+002, 2.3618243E+002, 2.3193083E+002,NaN,NaN
 2.6380118E+002, 2.6192503E+002, 2.5995165E+002, 2.5611937E+002, 2.5428663E+002, 2.5240802E+002, 2.4884571E+002, 2.4722088E+002, 2.4569186E+002, 2.4287973E+002, 2.4151301E+002, 2.3889152E+002, 2.3757964E+002, 2.3627084E+002, 2.3112596E+002,NaN,NaN
