case,dy_tag,dy_m,target_time_s,actual_time_s,time_delta_s,slice_x_m,target_y_m,actual_y_m,n_points,l2_norm_C,rmse_C,max_abs_error_C
d_M5,dy01,0.1,0.0,0.0,0.0,8.132049560546875,1.55,1.5333332990606625,16,580.2683902891357,145.06709757228393,227.45762711864413
d_M5,dy01,0.1,10.0,10.01058292388916,0.010582923889160156,8.132049560546875,1.55,1.5333332990606625,16,462.54652847777186,115.63663211944296,165.2596820780814
d_M5,dy01,0.1,20.0,20.005002975463867,0.0050029754638671875,8.132049560546875,1.55,1.5333332990606625,16,516.1732398783811,129.04330996959527,388.22435577513033
d_M5,dy01,0.1,30.0,30.00124168395996,0.0012416839599609375,8.132049560546875,1.55,1.5333332990606625,16,1463.033092302241,365.7582730755602,872.0484281867183
d_M5,dy01,0.1,40.0,40.006187438964844,0.00618743896484375,8.132049560546875,1.55,1.5333332990606625,16,878.1941278890338,219.54853197225844,867.8425044406723
d_M5,dy01,0.1,50.0,50.00764846801758,0.007648468017578125,8.132049560546875,1.55,1.5333332990606625,16,661.6255008370753,165.40637520926882,654.682770235953
d_M5,dy01,0.1,60.0,60.00835418701172,0.00835418701171875,8.132049560546875,1.55,1.5333332990606625,16,791.398212386318,197.8495530965795,789.1038203473042
d_M5,dy01,0.1,70.0,70.00757598876953,0.00757598876953125,8.132049560546875,1.55,1.5333332990606625,16,620.5711414156203,155.14278535390508,618.9156259182906
d_M5,dy01,0.1,80.0,80.00468444824219,0.0046844482421875,8.132049560546875,1.55,1.5333332990606625,16,998.0673606744446,249.51684016861114,879.361115926154
d_M5,dy01,0.1,90.0,90.00244140625,0.00244140625,8.132049560546875,1.55,1.5333332990606625,16,808.0747474026134,202.01868685065335,797.5602539147526
d_M5,dy01,0.1,100.0,100.00980377197266,0.00980377197265625,8.132049560546875,1.55,1.5333332990606625,16,620.3572764468094,155.08931911170234,615.9467208858761
d_M5,dy01,0.1,110.0,110.0078125,0.0078125,8.132049560546875,1.55,1.5333332990606625,16,1047.2713194584264,261.8178298646066,882.5072634528457
d_M5,dy01,0.1,120.0,120.00165557861328,0.00165557861328125,8.132049560546875,1.55,1.5333332990606625,16,625.7226412436224,156.4306603109056,617.4750556387811
