C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 9.2183987E+002, 8.2203326E+002, 6.8229749E+002, 3.6521611E+002, 2.2323611E+002, 1.1346095E+002, 5.2291516E+001, 4.7833439E+001, 4.5683481E+001, 4.3488494E+001, 4.2712146E+001, 4.1646084E+001, 4.1178148E+001, 4.0792914E+001, 4.0035316E+001, 2.0000000E+001, 0.0000000E+000
 3.2181613E+002, 2.4282947E+002, 1.8053858E+002, 1.0555663E+002, 8.4031299E+001, 7.0715334E+001, 5.5702792E+001, 5.1385171E+001, 4.8730505E+001, 4.5363316E+001, 4.4440896E+001, 4.3440172E+001, 4.3053049E+001, 4.2542895E+001, 4.0821216E+001, 6.8650653E+001, 0.0000000E+000
 2.3376469E+002, 1.8291137E+002, 1.4745553E+002, 1.0130472E+002, 8.6144936E+001, 7.6189765E+001, 6.2449705E+001, 5.7170608E+001, 5.3355951E+001, 4.8189535E+001, 4.6768949E+001, 4.5151953E+001, 4.4517357E+001, 4.3738684E+001, 4.1519113E+001, 7.1305146E+001, 0.0000000E+000
 1.9964434E+002, 1.6540648E+002, 1.4334597E+002, 1.0854173E+002, 9.6709721E+001, 8.8489283E+001, 7.4356615E+001, 6.8115731E+001, 6.2512270E+001, 5.4091841E+001, 5.1395908E+001, 4.8080196E+001, 4.6792856E+001, 4.5327412E+001, 4.2070892E+001, 7.4022447E+001, 0.0000000E+000
 1.7830245E+002, 1.5937251E+002, 1.4605359E+002, 1.2465960E+002, 1.1660146E+002, 1.1091835E+002, 1.0012373E+002, 9.4755011E+001, 8.8889996E+001, 7.6391423E+001, 7.0261951E+001, 6.0043828E+001, 5.5926800E+001, 5.1938994E+001, 4.4034925E+001, 7.5963993E+001, 0.0000000E+000
 1.7487421E+002, 1.5940446E+002, 1.4789222E+002, 1.3050606E+002, 1.2350178E+002, 1.1846275E+002, 1.0903706E+002, 1.0457753E+002, 9.9967974E+001, 8.9166233E+001, 8.2930692E+001, 6.9956608E+001, 6.3807298E+001, 5.7538407E+001, 4.5426015E+001, 7.9276431E+001, 0.0000000E+000
 1.7353969E+002, 1.6019670E+002, 1.4995342E+002, 1.3545936E+002, 1.2935839E+002, 1.2469415E+002, 1.1586081E+002, 1.1206484E+002, 1.0820474E+002, 9.9414748E+001, 9.4164367E+001, 8.1072804E+001, 7.3495769E+001, 6.5122923E+001, 4.7642298E+001, 8.2216883E+001, 0.0000000E+000
 1.7374296E+002, 1.6298356E+002, 1.5505914E+002, 1.4283809E+002, 1.3859130E+002, 1.3510156E+002, 1.2746170E+002, 1.2372171E+002, 1.2027815E+002, 1.1386386E+002, 1.1046785E+002, 1.0149123E+002, 9.5233501E+001, 8.6661308E+001, 6.0090336E+001, 9.2749383E+001, 0.0000000E+000
 1.7427929E+002, 1.6511756E+002, 1.5812747E+002, 1.4691504E+002, 1.4309019E+002, 1.3980239E+002, 1.3293221E+002, 1.2949709E+002, 1.2612400E+002, 1.1981874E+002, 1.1695032E+002, 1.1008407E+002, 1.0528468E+002, 9.8236627E+001, 7.1360131E+001, 9.8777397E+001, 0.0000000E+000
 1.7564546E+002, 1.6756269E+002, 1.6147123E+002, 1.5118637E+002, 1.4765747E+002, 1.4464385E+002, 1.3856228E+002, 1.3540284E+002, 1.3212185E+002, 1.2619844E+002, 1.2350429E+002, 1.1830076E+002, 1.1496440E+002, 1.0978406E+002, 8.5353916E+001, 1.0418562E+002, 0.0000000E+000
 1.7843397E+002, 1.7221929E+002, 1.6744438E+002, 1.5970306E+002, 1.5722911E+002, 1.5454479E+002, 1.4941156E+002, 1.4678180E+002, 1.4447007E+002, 1.4077211E+002, 1.3914807E+002, 1.3686359E+002, 1.3605781E+002, 1.3500182E+002, 1.2420812E+002, 1.0827907E+002, 0.0000000E+000
 1.8016852E+002, 1.7443265E+002, 1.7019185E+002, 1.6383281E+002, 1.6175346E+002, 1.5944988E+002, 1.5494119E+002, 1.5268465E+002, 1.5053954E+002, 1.4756267E+002, 1.4655989E+002, 1.4574278E+002, 1.4633119E+002, 1.4753354E+002, 1.4763143E+002,NaN,NaN
 1.8180354E+002, 1.7650580E+002, 1.7257855E+002, 1.6742470E+002, 1.6571626E+002, 1.6381239E+002, 1.6010519E+002, 1.5828241E+002, 1.5646412E+002, 1.5407075E+002, 1.5350997E+002, 1.5384334E+002, 1.5455147E+002, 1.5690325E+002, 1.6452377E+002,NaN,NaN
 1.8521323E+002, 1.8060594E+002, 1.7749858E+002, 1.7355173E+002, 1.7218732E+002, 1.7103322E+002, 1.6890796E+002, 1.6804466E+002, 1.6645938E+002, 1.6463874E+002, 1.6454625E+002, 1.6498445E+002, 1.6516564E+002, 1.6830914E+002, 1.7507578E+002,NaN,NaN
 1.8706744E+002, 1.8300309E+002, 1.8024403E+002, 1.7677512E+002, 1.7545279E+002, 1.7446827E+002, 1.7263620E+002, 1.7212399E+002, 1.7075525E+002, 1.6946675E+002, 1.6968410E+002, 1.7012517E+002, 1.6940516E+002, 1.7297999E+002, 1.7759665E+002,NaN,NaN
 1.8906676E+002, 1.8562686E+002, 1.8277117E+002, 1.7976622E+002, 1.7864831E+002, 1.7777794E+002, 1.7603210E+002, 1.7586414E+002, 1.7499586E+002, 1.7424182E+002, 1.7457435E+002, 1.7502579E+002, 1.7397765E+002, 1.7751960E+002, 1.8176993E+002,NaN,NaN
 1.9223728E+002, 1.8937823E+002, 1.8700526E+002, 1.8438206E+002, 1.8390129E+002, 1.8349348E+002, 1.8276682E+002, 1.8275123E+002, 1.8216928E+002, 1.8206509E+002, 1.8302024E+002, 1.8466700E+002, 1.8426249E+002, 1.8927330E+002, 1.9665754E+002,NaN,NaN
 1.9334065E+002, 1.9075052E+002, 1.8871889E+002, 1.8608993E+002, 1.8566847E+002, 1.8547583E+002, 1.8522506E+002, 1.8540402E+002, 1.8519009E+002, 1.8542866E+002, 1.8654814E+002, 1.8901401E+002, 1.8933984E+002, 1.9597928E+002, 2.0583279E+002,NaN,NaN
 1.9418917E+002, 1.9187875E+002, 1.9010193E+002, 1.8754860E+002, 1.8714491E+002, 1.8712347E+002, 1.8719574E+002, 1.8748471E+002, 1.8744511E+002, 1.8815209E+002, 1.8934646E+002, 1.9293249E+002, 1.9437748E+002, 2.0249343E+002, 2.1370465E+002,NaN,NaN
 1.9604616E+002, 1.9379441E+002, 1.9221453E+002, 1.8995651E+002, 1.8948489E+002, 1.8974806E+002, 1.9035098E+002, 1.9057546E+002, 1.9083721E+002, 1.9236313E+002, 1.9385112E+002, 2.0060053E+002, 2.0567419E+002, 2.1479299E+002, 2.2277986E+002,NaN,NaN
 1.9733986E+002, 1.9518255E+002, 1.9354822E+002, 1.9135366E+002, 1.9083035E+002, 1.9101532E+002, 1.9179538E+002, 1.9215872E+002, 1.9265002E+002, 1.9445438E+002, 1.9643076E+002, 2.0420072E+002, 2.1045204E+002, 2.1888145E+002, 2.2676061E+002,NaN,NaN
 1.9884581E+002, 1.9686004E+002, 1.9523579E+002, 1.9289118E+002, 1.9246943E+002, 1.9248703E+002, 1.9312736E+002, 1.9370765E+002, 1.9447587E+002, 1.9676908E+002, 1.9903383E+002, 2.0710419E+002, 2.1384778E+002, 2.2143854E+002, 2.2852876E+002,NaN,NaN
 2.0269625E+002, 2.0089189E+002, 1.9928672E+002, 1.9678344E+002, 1.9631410E+002, 1.9606336E+002, 1.9638414E+002, 1.9712647E+002, 1.9820746E+002, 2.0079201E+002, 2.0314650E+002, 2.1153866E+002, 2.1787450E+002, 2.2455720E+002, 2.3050701E+002,NaN,NaN
