Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
   33, 2.503E+01, 4.279E+02, 2.124E+02, 3.695E+02, 1.472E+02, 1.594E+02, 1.362E+02, 2.913E-02, 1.528E+02, 1.104E+01, 5.090E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   34, 3.498E+01, 3.623E+02, 1.844E+02, 2.998E+02, 1.382E+02, 1.202E+02, 1.466E+02, 2.946E-02, 1.237E+02, 5.585E+01, 6.843E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   35, 3.364E+01, 4.141E+02, 2.053E+02, 3.810E+02, 1.413E+02, 1.290E+02, 1.456E+02, 2.960E-02, 1.400E+02, 2.079E+01, 5.396E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   36, 2.696E+01, 4.651E+02, 2.328E+02, 3.993E+02, 1.439E+02, 1.631E+02, 1.253E+02, 2.913E-02, 1.634E+02, 9.280E+00, 4.214E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   37, 2.254E+01, 4.386E+02, 2.113E+02, 3.698E+02, 1.530E+02, 1.739E+02, 1.312E+02, 3.032E-02, 1.630E+02, 9.348E+00, 4.776E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   38, 2.449E+01, 4.576E+02, 2.171E+02, 3.441E+02, 1.718E+02, 1.648E+02, 1.326E+02, 3.062E-02, 1.602E+02, 1.215E+01, 4.655E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   39, 2.573E+01, 4.065E+02, 1.934E+02, 3.649E+02, 1.408E+02, 1.396E+02, 1.317E+02, 2.971E-02, 1.443E+02, 9.600E+00, 5.939E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   40, 2.366E+01, 4.676E+02, 2.448E+02, 4.374E+02, 1.434E+02, 1.902E+02, 9.882E+01, 2.611E-02, 1.693E+02, 9.892E+00, 3.654E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   41, 3.144E+01, 4.397E+02, 2.096E+02, 3.333E+02, 1.380E+02, 1.668E+02, 1.274E+02, 3.087E-02, 1.373E+02, 9.158E+00, 5.576E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   42, 2.923E+01, 4.097E+02, 2.064E+02, 3.334E+02, 1.315E+02, 1.722E+02, 1.377E+02, 2.962E-02, 1.373E+02, 9.442E+00, 5.835E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   43, 3.223E+01, 3.924E+02, 1.979E+02, 3.498E+02, 1.374E+02, 1.315E+02, 1.396E+02, 2.987E-02, 1.383E+02, 8.758E+00, 6.224E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   44, 2.070E+01, 4.447E+02, 2.266E+02, 4.316E+02, 1.396E+02, 1.849E+02, 9.547E+01, 2.967E-02, 1.608E+02, 9.152E+00, 4.369E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   45, 3.041E+01, 4.139E+02, 2.039E+02, 3.363E+02, 1.395E+02, 1.320E+02, 1.307E+02, 2.684E-02, 1.454E+02, 9.239E+00, 6.090E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   46, 3.480E+01, 3.927E+02, 1.979E+02, 3.290E+02, 1.364E+02, 1.210E+02, 1.447E+02, 2.982E-02, 1.373E+02, 8.411E+00, 6.483E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   47, 3.558E+01, 4.082E+02, 2.054E+02, 3.694E+02, 1.402E+02, 1.193E+02, 1.453E+02, 2.913E-02, 1.378E+02, 8.415E+00, 5.808E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
