m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.4501300E+002, 5.6949583E+002, 1.8786491E-002, 1.9172129E+000, 3.0965100E+003, 5.7336716E-001, 3.5024878E-004, 2.0420341E-003, 1.5054047E-001, 5.4955917E+001, 7.4237246E+001, 8.6854424E+001, 6.8862529E+001, 4.2497417E+001, 4.1737255E+001
 1.5172414E-001, 6.4501300E+002, 5.6949583E+002, 8.6931395E-001, 1.9172129E+000, 3.0965100E+003, 5.7336716E-001, 3.5024878E-004, 2.0420341E-003, 1.5054047E-001, 5.4955917E+001, 7.4237246E+001, 8.6854424E+001, 6.8862529E+001, 4.2497417E+001, 4.1737255E+001
 2.5344828E-001, 5.2896950E+002, 4.1635305E+002, 1.1859173E+000, 2.0773827E+000, 1.2632138E+003, 6.9419072E-001, 2.6113160E-004, 1.5224596E-003, 1.6537608E-001, 6.0413989E+001, 8.7356311E+001, 9.2047864E+001, 9.5343027E+001, 4.3862383E+001, 4.2499150E+001
 3.5517241E-001, 4.2892591E+002, 3.1782408E+002, 1.1859173E+000, 2.0591255E+000, 4.7375852E+002, 7.5409005E-001, 2.0464736E-004, 1.1931430E-003, 1.7464036E-001, 6.7335877E+001, 8.6844296E+001, 1.0108645E+002, 1.0836188E+002, 4.3862383E+001, 4.2499150E+001
 4.5689655E-001, 4.2892591E+002, 3.1782408E+002, 1.2066029E+000, 2.0591255E+000, 4.7375852E+002, 7.5409005E-001, 2.0464736E-004, 1.1931430E-003, 1.7464036E-001, 6.7335877E+001, 8.6844296E+001, 1.0108645E+002, 1.0836188E+002, 4.3862383E+001, 4.2499150E+001
 5.5862069E-001, 3.5712414E+002, 2.6387166E+002, 1.2066029E+000, 1.9521481E+000, 1.8457504E+002, 7.6445785E-001, 1.7437217E-004, 1.0166314E-003, 1.7956390E-001, 7.9482730E+001, 9.0252306E+001, 1.1303662E+002, 1.0880037E+002, 4.4968616E+001, 4.4174226E+001
 6.6034483E-001, 3.5712414E+002, 2.6387166E+002, 1.1047158E+000, 1.9521481E+000, 1.8457504E+002, 7.6445785E-001, 1.7437217E-004, 1.0166314E-003, 1.7956390E-001, 7.9482730E+001, 9.0252306E+001, 1.1303662E+002, 1.0880037E+002, 4.4968616E+001, 4.4174226E+001
 7.6206897E-001, 3.0689421E+002, 2.3204873E+002, 1.0036768E+000, 1.8296125E+000, 7.6025928E+001, 7.6107633E-001, 1.5731533E-004, 9.1718592E-004, 1.8232176E-001, 9.4438313E+001, 1.0465378E+002, 1.2424689E+002, 1.2481630E+002, 4.5937246E+001, 4.4937623E+001
 8.6379310E-001, 2.7453635E+002, 2.1545306E+002, 1.0036768E+000, 1.7035027E+000, 3.5024192E+001, 7.4837979E-001, 1.4988022E-004, 8.7383746E-004, 1.8352182E-001, 1.0956980E+002, 1.2845812E+002, 1.3408741E+002, 1.3923774E+002, 4.5937246E+001, 4.4937623E+001
 9.6551724E-001, 2.7453635E+002, 2.1545306E+002, 9.2996597E-001, 1.7035027E+000, 3.5024192E+001, 7.4837979E-001, 1.4988022E-004, 8.7383746E-004, 1.8352182E-001, 1.0956980E+002, 1.2845812E+002, 1.3408741E+002, 1.3923774E+002, 4.5937246E+001, 4.4937623E+001
 1.0672414E+000, 2.5180382E+002, 2.0497894E+002, 9.2996597E-001, 1.5771559E+000, 1.7294869E+001, 7.3460228E-001, 1.4621942E-004, 8.5249414E-004, 1.8411202E-001, 1.2510144E+002, 1.3197550E+002, 1.4256086E+002, 1.4056557E+002, 4.8238117E+001, 4.6745035E+001
 1.1689655E+000, 2.3607698E+002, 1.9901094E+002, 8.6271494E-001, 1.4758779E+000, 9.0806104E+000, 7.2228685E-001, 1.4478632E-004, 8.4413882E-004, 1.8434324E-001, 1.2510144E+002, 1.3197550E+002, 1.4256086E+002, 1.4056557E+002, 4.8238117E+001, 4.6745035E+001
