Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
   22, 3.862E+01, 4.507E+02, 2.163E+02, 3.752E+02, 1.499E+02, 1.294E+02, 1.718E+02, 4.279E-02, 1.593E+02, 1.061E+01, 7.008E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   23, 3.291E+01, 4.721E+02, 2.230E+02, 4.260E+02, 1.511E+02, 1.615E+02, 1.664E+02, 3.419E-02, 1.698E+02, 1.111E+01, 5.887E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   24, 2.461E+01, 4.726E+02, 2.477E+02, 4.350E+02, 1.530E+02, 1.885E+02, 1.242E+02, 3.243E-02, 1.786E+02, 1.157E+01, 5.669E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   25, 4.442E+01, 3.744E+02, 2.063E+02, 4.116E+02, 1.284E+02, 1.008E+02, 1.632E+02, 3.400E-02, 1.201E+02, 1.066E+01, 8.428E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   26, 5.583E+01, 3.268E+02, 1.708E+02, 4.224E+02, 1.149E+02, 7.222E+01, 1.857E+02, 3.548E-02, 9.188E+01, 1.094E+01, 9.512E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   27, 3.594E+01, 4.367E+02, 2.225E+02, 3.919E+02, 1.474E+02, 1.173E+02, 1.622E+02, 3.717E-02, 1.540E+02, 1.062E+01, 7.241E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   28, 2.364E+01, 4.750E+02, 2.451E+02, 4.534E+02, 1.529E+02, 1.811E+02, 1.189E+02, 3.086E-02, 1.750E+02, 1.101E+01, 5.667E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   29, 4.073E+01, 3.916E+02, 2.168E+02, 4.286E+02, 1.363E+02, 1.123E+02, 1.583E+02, 3.208E-02, 1.347E+02, 1.060E+01, 7.726E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   30, 5.309E+01, 3.676E+02, 1.983E+02, 4.079E+02, 1.324E+02, 9.598E+01, 1.899E+02, 3.493E-02, 1.190E+02, 9.752E+00, 8.288E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   31, 4.117E+01, 4.533E+02, 2.208E+02, 3.924E+02, 1.529E+02, 1.283E+02, 1.776E+02, 3.417E-02, 1.573E+02, 1.043E+01, 6.684E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   32, 3.340E+01, 4.795E+02, 2.394E+02, 4.272E+02, 1.462E+02, 1.810E+02, 1.703E+02, 3.145E-02, 1.789E+02, 1.019E+01, 5.365E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   33, 2.861E+01, 4.912E+02, 2.371E+02, 4.100E+02, 1.467E+02, 1.816E+02, 1.634E+02, 3.190E-02, 1.740E+02, 1.123E+01, 5.589E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   34, 4.041E+01, 4.651E+02, 2.297E+02, 3.601E+02, 1.558E+02, 1.464E+02, 1.762E+02, 3.292E-02, 1.579E+02, 4.927E+01, 6.217E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   35, 3.839E+01, 4.281E+02, 2.173E+02, 3.962E+02, 1.371E+02, 1.333E+02, 1.736E+02, 3.286E-02, 1.485E+02, 1.779E+01, 7.124E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   36, 3.140E+01, 4.982E+02, 2.485E+02, 4.447E+02, 1.444E+02, 2.019E+02, 1.554E+02, 3.393E-02, 1.843E+02, 1.062E+01, 4.833E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   37, 2.399E+01, 5.050E+02, 2.487E+02, 4.281E+02, 1.561E+02, 2.208E+02, 1.565E+02, 3.295E-02, 1.913E+02, 1.077E+01, 4.613E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   38, 2.775E+01, 4.655E+02, 2.216E+02, 3.752E+02, 1.558E+02, 1.862E+02, 1.614E+02, 3.392E-02, 1.719E+02, 1.135E+01, 6.259E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   39, 2.835E+01, 4.588E+02, 2.173E+02, 4.166E+02, 1.424E+02, 1.735E+02, 1.603E+02, 3.276E-02, 1.651E+02, 1.059E+01, 6.297E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   40, 2.749E+01, 4.782E+02, 2.337E+02, 4.649E+02, 1.356E+02, 2.180E+02, 1.209E+02, 2.949E-02, 1.756E+02, 1.131E+01, 5.370E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   41, 3.538E+01, 4.405E+02, 2.110E+02, 3.622E+02, 1.295E+02, 1.894E+02, 1.567E+02, 3.584E-02, 1.431E+02, 9.981E+00, 7.248E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   42, 3.479E+01, 4.556E+02, 2.262E+02, 3.774E+02, 1.314E+02, 2.032E+02, 1.678E+02, 3.209E-02, 1.536E+02, 1.063E+01, 6.420E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   43, 3.824E+01, 4.299E+02, 2.084E+02, 3.753E+02, 1.335E+02, 1.399E+02, 1.711E+02, 3.538E-02, 1.467E+02, 9.555E+00, 7.500E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   44, 2.270E+01, 5.035E+02, 2.636E+02, 4.795E+02, 1.400E+02, 2.219E+02, 1.185E+02, 3.020E-02, 1.825E+02, 1.060E+01, 4.599E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   45, 3.435E+01, 4.798E+02, 2.342E+02, 3.725E+02, 1.419E+02, 1.499E+02, 1.603E+02, 3.112E-02, 1.667E+02, 1.038E+01, 6.525E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   46, 3.956E+01, 4.722E+02, 2.343E+02, 3.791E+02, 1.416E+02, 1.433E+02, 1.732E+02, 3.645E-02, 1.650E+02, 9.890E+00, 6.446E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
   47, 4.372E+01, 4.735E+02, 2.362E+02, 4.100E+02, 1.417E+02, 1.420E+02, 1.784E+02, 3.301E-02, 1.604E+02, 9.708E+00, 6.071E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
