C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14
 1.8472724E+002, 1.7570912E+002, 1.6792125E+002, 1.6256476E+002, 1.5976564E+002, 1.5787940E+002, 1.5732379E+002, 1.5696319E+002, 1.5738036E+002, 1.5802528E+002, 1.6056829E+002, 1.6471625E+002, 1.7372054E+002, 1.7893311E+002, 1.9003505E+002
 1.8506557E+002, 1.7678668E+002, 1.6970790E+002, 1.6484285E+002, 1.6207317E+002, 1.6024443E+002, 1.5963298E+002, 1.5950460E+002, 1.5994492E+002, 1.6086135E+002, 1.6410216E+002, 1.6939021E+002, 1.7834333E+002, 1.8599884E+002, 1.9370832E+002
 1.8572619E+002, 1.7827851E+002, 1.7179061E+002, 1.6713967E+002, 1.6448002E+002, 1.6276169E+002, 1.6199646E+002, 1.6183453E+002, 1.6243009E+002, 1.6396956E+002, 1.6770507E+002, 1.7312146E+002, 1.8145212E+002, 1.8918827E+002, 1.9540575E+002
 1.8722679E+002, 1.8038437E+002, 1.7437367E+002, 1.6997834E+002, 1.6743886E+002, 1.6570633E+002, 1.6488775E+002, 1.6471393E+002, 1.6542772E+002, 1.6717914E+002, 1.7076806E+002, 1.7615626E+002, 1.8431323E+002, 1.9230262E+002, 1.9715507E+002
 1.8992207E+002, 1.8346076E+002, 1.7779624E+002, 1.7369762E+002, 1.7106118E+002, 1.6922592E+002, 1.6857469E+002, 1.6846553E+002, 1.6918722E+002, 1.7094068E+002, 1.7438857E+002, 1.7913567E+002, 1.8633857E+002, 1.9385764E+002, 1.9846589E+002
 1.9474717E+002, 1.8862864E+002, 1.8350707E+002, 1.7974425E+002, 1.7695013E+002, 1.7490573E+002, 1.7388305E+002, 1.7357795E+002, 1.7399391E+002, 1.7537372E+002, 1.7809496E+002, 1.8200275E+002, 1.8855984E+002, 1.9571235E+002, 1.9972136E+002
 2.0214107E+002, 1.9637326E+002, 1.9135902E+002, 1.8783280E+002, 1.8512148E+002, 1.8309784E+002, 1.8146262E+002, 1.8058873E+002, 1.8061502E+002, 1.8142395E+002, 1.8336550E+002, 1.8634979E+002, 1.9184822E+002, 1.9771032E+002, 2.0078602E+002
 2.1289732E+002, 2.0776372E+002, 2.0300455E+002, 1.9952638E+002, 1.9687356E+002, 1.9478926E+002, 1.9302175E+002, 1.9155559E+002, 1.9074290E+002, 1.9042723E+002, 1.9118619E+002, 1.9251907E+002, 1.9611167E+002, 2.0007567E+002, 2.0165225E+002
 2.2551771E+002, 2.2121655E+002, 2.1680893E+002, 2.1307105E+002, 2.1017243E+002, 2.0776874E+002, 2.0565603E+002, 2.0388536E+002, 2.0257909E+002, 2.0157791E+002, 2.0113864E+002, 2.0101299E+002, 2.0232067E+002, 2.0341481E+002, 2.0223193E+002
 2.4201786E+002, 2.3862944E+002, 2.3492360E+002, 2.3111578E+002, 2.2748059E+002, 2.2415398E+002, 2.2101882E+002, 2.1811895E+002, 2.1545484E+002, 2.1302994E+002, 2.1083160E+002, 2.0876465E+002, 2.0697975E+002, 2.0535431E+002, 2.0212757E+002
