Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 5.302E+00, 2.505E+02, 1.285E+02, 1.834E+02, 3.275E+01, 5.651E+01, 1.365E+02, 1.220E-02, 9.561E+01, 5.748E+00, 4.164E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.365E+02
    1, 8.877E+00, 2.177E+02, 1.175E+02, 1.588E+02, 3.105E+01, 4.910E+01, 1.393E+02, 1.132E-02, 8.583E+01, 2.438E+01, 1.039E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.365E+02
    2, 4.833E+00, 2.378E+02, 1.213E+02, 1.900E+02, 3.334E+01, 5.197E+01, 1.354E+02, 1.649E-02, 9.175E+01, 4.228E+00, 6.580E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.365E+02
    3, 9.006E+00, 2.433E+02, 1.264E+02, 1.954E+02, 3.333E+01, 5.422E+01, 1.390E+02, 1.539E-02, 8.149E+01, 4.847E+00, 4.953E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.365E+02
