m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 1.8810345E+000, 2.3812564E+002, 2.2234041E+002, 1.1680826E+000, 1.4551445E+000, 1.1652568E+000, 6.9818563E-001, 1.6922712E-004, 9.8663456E-004, 1.8042593E-001, 2.1166562E+002, 2.2485962E+002, 2.0205188E+002, 1.7442626E+002, 6.4208547E+001, 7.3344559E+001
 1.9827586E+000, 2.3812564E+002, 2.2234041E+002, 1.1093801E+000, 1.4551445E+000, 1.1652568E+000, 6.9818563E-001, 1.6922712E-004, 9.8663456E-004, 1.8042593E-001, 2.1166562E+002, 2.2485962E+002, 2.0205188E+002, 1.7442626E+002, 6.4208547E+001, 7.3344559E+001
 2.0844828E+000, 2.3750450E+002, 2.2395627E+002, 1.0526387E+000, 1.3860321E+000, 7.8558687E-001, 6.9112778E-001, 1.7121256E-004, 9.9821013E-004, 1.8010767E-001, 2.1746920E+002, 2.3890986E+002, 2.0530903E+002, 1.8296540E+002, 7.5680440E+001, 8.4052795E+001
 2.1862069E+000, 2.3817073E+002, 2.2700767E+002, 1.0526387E+000, 1.3427335E+000, 5.2436134E-001, 6.8388355E-001, 1.7382965E-004, 1.0134684E-003, 1.7968812E-001, 2.1746920E+002, 2.3890986E+002, 2.0530903E+002, 1.8296540E+002, 7.5680440E+001, 8.4052795E+001
 2.2879310E+000, 2.3817073E+002, 2.2700767E+002, 9.5682845E-001, 1.3427335E+000, 5.2436134E-001, 6.8388355E-001, 1.7382965E-004, 1.0134684E-003, 1.7968812E-001, 2.2174397E+002, 2.3766374E+002, 2.0995200E+002, 1.8656096E+002, 7.5680440E+001, 8.4052795E+001
 2.3896552E+000, 2.4145738E+002, 2.3273861E+002, 9.5682845E-001, 1.2824634E+000, 3.8221764E-001, 6.7453617E-001, 1.7817394E-004, 1.0387966E-003, 1.7899162E-001, 2.2519422E+002, 2.3525112E+002, 2.1524590E+002, 1.8863883E+002, 7.7234598E+001, 6.7911484E+001
 2.4913793E+000, 2.4145738E+002, 2.3273861E+002, 8.5476003E-001, 1.2824634E+000, 3.8221764E-001, 6.7453617E-001, 1.7817394E-004, 1.0387966E-003, 1.7899162E-001, 2.2519422E+002, 2.3525112E+002, 2.1524590E+002, 1.8863883E+002, 7.7234598E+001, 6.7911484E+001
 2.5931034E+000, 2.4769153E+002, 2.4159170E+002, 6.7088856E-001, 1.3049015E+000, 2.8087141E-001, 6.6370014E-001, 1.8416756E-004, 1.0737409E-003, 1.7803066E-001, 2.2869645E+002, 2.3626578E+002, 2.2348944E+002, 1.9784513E+002, 7.7734861E+001, 7.1108854E+001
 2.6948276E+000, 2.5530298E+002, 2.5212515E+002, 6.7088856E-001, 1.4910044E+000, 2.3867841E-001, 6.4899305E-001, 1.9233511E-004, 1.1213596E-003, 1.7672115E-001, 2.2869645E+002, 2.3626578E+002, 2.2348944E+002, 1.9784513E+002, 7.7734861E+001, 7.1108854E+001
 2.7965517E+000, 2.5530298E+002, 2.5212515E+002, 5.4870990E-001, 1.4910044E+000, 2.3867841E-001, 6.4899305E-001, 1.9233511E-004, 1.1213596E-003, 1.7672115E-001, 2.3459353E+002, 2.3639501E+002, 2.3579399E+002, 2.1483960E+002, 7.7734861E+001, 7.1108854E+001
 2.8982759E+000, 2.6636715E+002, 2.6709680E+002, 5.4870990E-001, 2.0532426E+000, 2.2729861E-001, 6.2470169E-001, 2.0582131E-004, 1.1999874E-003, 1.7455887E-001, 2.4027770E+002, 2.2860595E+002, 2.5176371E+002, 2.2438334E+002, 8.1453889E+001, 7.2174707E+001
 2.9983333E+000, 2.6636715E+002, 2.6709680E+002, 0.0000000E+000, 2.0532426E+000, 2.2729861E-001, 6.2470169E-001, 2.0582131E-004, 1.1999874E-003, 1.7455887E-001, 2.4027770E+002, 2.2860595E+002, 2.5176371E+002, 2.2438334E+002, 8.1453889E+001, 7.2174707E+001
