m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 1.8810345E+000, 2.3272604E+002, 2.1384671E+002, 1.2020891E+000, 1.4851585E+000, 1.4948215E+000, 6.5626611E-001, 1.6383816E-004, 9.5521563E-004, 1.8128992E-001, 2.0609240E+002, 2.1085589E+002, 1.9577168E+002, 1.7886767E+002, 6.2099535E+001, 6.9957913E+001
 1.9827586E+000, 2.3272604E+002, 2.1384671E+002, 1.1737482E+000, 1.4851585E+000, 1.4948215E+000, 6.5626611E-001, 1.6383816E-004, 9.5521563E-004, 1.8128992E-001, 2.0609240E+002, 2.1085589E+002, 1.9577168E+002, 1.7886767E+002, 6.2099535E+001, 6.9957913E+001
 2.0844828E+000, 2.2979135E+002, 2.1483708E+002, 1.1518948E+000, 1.4269359E+000, 9.9909377E-001, 6.4875827E-001, 1.6565207E-004, 9.6579113E-004, 1.8099919E-001, 2.0994371E+002, 2.0940121E+002, 1.9980077E+002, 1.8514275E+002, 7.2613346E+001, 7.9555338E+001
 2.1862069E+000, 2.2891408E+002, 2.1702678E+002, 1.1518948E+000, 1.3514719E+000, 6.7183246E-001, 6.4066554E-001, 1.6815818E-004, 9.8040235E-004, 1.8059743E-001, 2.0994371E+002, 2.0940121E+002, 1.9980077E+002, 1.8514275E+002, 7.2613346E+001, 7.9555338E+001
 2.2879310E+000, 2.2891408E+002, 2.1702678E+002, 1.0539512E+000, 1.3514719E+000, 6.7183246E-001, 6.4066554E-001, 1.6815818E-004, 9.8040235E-004, 1.8059743E-001, 2.1283155E+002, 2.1528007E+002, 2.0375447E+002, 1.9069014E+002, 7.2613346E+001, 7.9555338E+001
 2.3896552E+000, 2.2947480E+002, 2.2081266E+002, 1.0539512E+000, 1.2756805E+000, 4.4050382E-001, 6.3217881E-001, 1.7154960E-004, 1.0001751E-003, 1.8005372E-001, 2.1579988E+002, 2.1468445E+002, 2.0840221E+002, 1.9895885E+002, 7.6428236E+001, 7.9323218E+001
 2.4913793E+000, 2.2947480E+002, 2.2081266E+002, 9.5801607E-001, 1.2756805E+000, 4.4050382E-001, 6.3217881E-001, 1.7154960E-004, 1.0001751E-003, 1.8005372E-001, 2.1579988E+002, 2.1468445E+002, 2.0840221E+002, 1.9895885E+002, 7.6428236E+001, 7.9323218E+001
 2.5931034E+000, 2.3251322E+002, 2.2697051E+002, 7.8056975E-001, 1.2654904E+000, 3.0120363E-001, 6.2329586E-001, 1.7603908E-004, 1.0263499E-003, 1.7933393E-001, 2.1900745E+002, 2.1340083E+002, 2.1500008E+002, 2.0191889E+002, 7.7151507E+001, 8.0103366E+001
 2.6948276E+000, 2.3838570E+002, 2.3626543E+002, 7.8056975E-001, 1.3759101E+000, 2.1531995E-001, 6.1015487E-001, 1.8307651E-004, 1.0673798E-003, 1.7820562E-001, 2.1900745E+002, 2.1340083E+002, 2.1500008E+002, 2.0191889E+002, 7.7151507E+001, 8.0103366E+001
 2.7965517E+000, 2.3838570E+002, 2.3626543E+002, 5.1462202E-001, 1.3759101E+000, 2.1531995E-001, 6.1015487E-001, 1.8307651E-004, 1.0673798E-003, 1.7820562E-001, 2.2373752E+002, 2.1238776E+002, 2.2513891E+002, 2.1543731E+002, 7.7151507E+001, 8.0103366E+001
 2.8982759E+000, 2.4601212E+002, 2.4636000E+002, 5.1462202E-001, 1.8082868E+000, 1.7838557E-001, 5.8988705E-001, 1.9334084E-004, 1.1272233E-003, 1.7655991E-001, 2.2780056E+002, 2.1358160E+002, 2.3572080E+002, 2.2417729E+002, 8.0336419E+001, 7.4398799E+001
 2.9983333E+000, 2.4601212E+002, 2.4636000E+002, 0.0000000E+000, 1.8082868E+000, 1.7838557E-001, 5.8988705E-001, 1.9334084E-004, 1.1272233E-003, 1.7655991E-001, 2.2780056E+002, 2.1358160E+002, 2.3572080E+002, 2.2417729E+002, 8.0336419E+001, 7.4398799E+001
