Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 3.099E+01, 7.065E+02, 3.743E+02, 6.402E+02, 1.438E+02, 2.616E+02, 1.425E+02, 2.990E-02, 2.281E+02, 1.388E+01, 3.613E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
    1, 4.353E+01, 6.183E+02, 3.234E+02, 5.282E+02, 1.461E+02, 1.595E+02, 1.544E+02, 2.640E-02, 2.024E+02, 4.874E+01, 6.785E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
    2, 1.714E+01, 6.889E+02, 3.482E+02, 6.364E+02, 1.426E+02, 3.324E+02, 1.141E+02, 2.265E-02, 2.885E+02, 1.576E+01, 3.191E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
    3, 2.273E+01, 6.828E+02, 3.356E+02, 5.439E+02, 1.470E+02, 2.551E+02, 1.281E+02, 2.952E-02, 2.374E+02, 1.427E+01, 5.361E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
    4, 2.464E+01, 6.516E+02, 3.763E+02, 6.466E+02, 1.364E+02, 2.436E+02, 1.073E+02, 2.460E-02, 2.236E+02, 1.986E+01, 4.732E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
    5, 4.109E+01, 5.948E+02, 3.173E+02, 5.824E+02, 1.378E+02, 1.388E+02, 1.429E+02, 2.781E-02, 1.800E+02, 1.457E+01, 7.533E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
    6, 4.893E+01, 5.430E+02, 2.734E+02, 4.689E+02, 1.242E+02, 1.568E+02, 1.266E+02, 2.433E-02, 1.795E+02, 1.113E+01, 9.707E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
    7, 6.152E+01, 5.145E+02, 2.684E+02, 4.218E+02, 1.205E+02, 1.264E+02, 1.652E+02, 3.296E-02, 1.666E+02, 1.078E+01, 1.047E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
    8, 2.765E+01, 6.902E+02, 3.727E+02, 6.239E+02, 1.486E+02, 2.313E+02, 1.281E+02, 2.553E-02, 2.499E+02, 1.410E+01, 4.165E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
    9, 4.097E+01, 6.203E+02, 3.243E+02, 5.208E+02, 1.468E+02, 1.571E+02, 1.434E+02, 2.604E-02, 2.136E+02, 5.076E+01, 6.851E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
   10, 1.812E+01, 6.735E+02, 3.472E+02, 6.332E+02, 1.456E+02, 3.234E+02, 1.061E+02, 2.407E-02, 2.817E+02, 1.636E+01, 3.579E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
   11, 1.735E+01, 6.858E+02, 3.420E+02, 5.606E+02, 1.481E+02, 2.675E+02, 1.192E+02, 2.585E-02, 2.561E+02, 1.662E+01, 4.898E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
   12, 1.493E+01, 7.065E+02, 3.815E+02, 6.111E+02, 1.440E+02, 2.842E+02, 9.372E+01, 2.525E-02, 2.530E+02, 1.549E+01, 3.986E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
   13, 2.617E+01, 6.334E+02, 3.423E+02, 5.679E+02, 1.407E+02, 1.882E+02, 1.232E+02, 2.505E-02, 2.142E+02, 1.461E+01, 6.525E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
   14, 5.581E+01, 5.690E+02, 2.866E+02, 4.896E+02, 1.251E+02, 1.760E+02, 1.133E+02, 2.478E-02, 2.081E+02, 1.133E+01, 8.682E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
   15, 6.940E+01, 5.321E+02, 2.775E+02, 4.144E+02, 1.266E+02, 1.304E+02, 1.584E+02, 2.759E-02, 1.979E+02, 1.077E+01, 9.857E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.903E+03
