case,dy_tag,dy_m,target_time_s,actual_time_s,time_delta_s,slice_x_m,target_y_m,actual_y_m,n_points,l2_norm_C,rmse_C,max_abs_error_C
d_M5,dy02,0.2,0.0,0.0,0.0,8.132049560546875,1.65,1.6199999641627072,16,580.2683902891357,145.06709757228393,227.45762711864413
d_M5,dy02,0.2,10.0,10.01058292388916,0.010582923889160156,8.132049560546875,1.65,1.6199999641627072,16,509.48423430788006,127.37105857697001,174.90816937462756
d_M5,dy02,0.2,20.0,20.005002975463867,0.0050029754638671875,8.132049560546875,1.65,1.6199999641627072,16,553.1633010976175,138.29082527440437,405.1058237373843
d_M5,dy02,0.2,30.0,30.00124168395996,0.0012416839599609375,8.132049560546875,1.65,1.6199999641627072,16,1622.0517014615257,405.5129253653814,901.2174967599075
d_M5,dy02,0.2,40.0,40.006187438964844,0.00618743896484375,8.132049560546875,1.65,1.6199999641627072,16,768.3304545400381,192.08261363500952,759.1317961449021
d_M5,dy02,0.2,50.0,50.00764846801758,0.007648468017578125,8.132049560546875,1.65,1.6199999641627072,16,412.9725845138836,103.2431461284709,401.79318911851567
d_M5,dy02,0.2,60.0,60.00835418701172,0.00835418701171875,8.132049560546875,1.65,1.6199999641627072,16,609.827827502679,152.45695687566976,608.2405233177253
d_M5,dy02,0.2,70.0,70.00757598876953,0.00757598876953125,8.132049560546875,1.65,1.6199999641627072,16,604.4908590394849,151.12271475987123,602.9474271336313
d_M5,dy02,0.2,80.0,80.00468444824219,0.0046844482421875,8.132049560546875,1.65,1.6199999641627072,16,847.5249033873349,211.88122584683373,785.3168354517128
d_M5,dy02,0.2,90.0,90.00244140625,0.00244140625,8.132049560546875,1.65,1.6199999641627072,16,744.6517839498912,186.1629459874728,730.556186326175
d_M5,dy02,0.2,100.0,100.00980377197266,0.00980377197265625,8.132049560546875,1.65,1.6199999641627072,16,401.328970248903,100.33224256222574,397.2461360012928
d_M5,dy02,0.2,110.0,110.0078125,0.0078125,8.132049560546875,1.65,1.6199999641627072,16,891.3139327515058,222.82848318787646,728.1343537262651
d_M5,dy02,0.2,120.0,120.00165557861328,0.00165557861328125,8.132049560546875,1.65,1.6199999641627072,16,408.7494315305924,102.1873578826481,406.45106517330294
d_M5,dy02,0.2,130.0,130.00535583496094,0.0053558349609375,8.132049560546875,1.65,1.6199999641627072,16,579.5649709633573,144.89124274083932,575.4949109688805
d_M5,dy02,0.2,140.0,140.0108184814453,0.0108184814453125,8.132049560546875,1.65,1.6199999641627072,16,324.4487652493865,81.11219131234662,244.98185064999106
d_M5,dy02,0.2,150.0,150.00213623046875,0.00213623046875,8.132049560546875,1.65,1.6199999641627072,16,632.7176155453901,158.17940388634753,629.7049027498952
d_M5,dy02,0.2,160.0,160.00363159179688,0.003631591796875,8.132049560546875,1.65,1.6199999641627072,16,626.8935547460491,156.72338868651227,562.5748614543049
d_M5,dy02,0.2,170.0,170.0038299560547,0.0038299560546875,8.132049560546875,1.65,1.6199999641627072,16,495.5307507864845,123.88268769662112,448.2452053958423
d_M5,dy02,0.2,180.0,180.00369262695312,0.003692626953125,8.132049560546875,1.65,1.6199999641627072,16,642.283687102966,160.5709217757415,629.7289862064798
d_M5,dy02,0.2,190.0,190.0024871826172,0.0024871826171875,8.132049560546875,1.65,1.6199999641627072,16,388.358475059424,97.089618764856,382.13176237504433
d_M5,dy02,0.2,200.0,200.00721740722656,0.0072174072265625,8.132049560546875,1.65,1.6199999641627072,16,518.6851365595861,129.67128413989653,502.6756681712841
d_M5,dy02,0.2,210.0,210.00442504882812,0.004425048828125,8.132049560546875,1.65,1.6199999641627072,16,521.8863207078551,130.47158017696378,485.8986840426354
d_M5,dy02,0.2,220.0,220.0050811767578,0.0050811767578125,8.132049560546875,1.65,1.6199999641627072,16,354.8145746691636,88.7036436672909,351.95662567868476
d_M5,dy02,0.2,230.0,230.00802612304688,0.008026123046875,8.132049560546875,1.65,1.6199999641627072,16,546.8869312810589,136.72173282026472,517.4480123809963
d_M5,dy02,0.2,240.0,240.00572204589844,0.0057220458984375,8.132049560546875,1.65,1.6199999641627072,16,327.74352888562976,81.93588222140744,315.6399933987934
d_M5,dy02,0.2,250.0,250.005615234375,0.005615234375,8.132049560546875,1.65,1.6199999641627072,16,469.0949784940726,117.27374462351816,463.0631151272411
d_M5,dy02,0.2,260.0,260.0086975097656,0.008697509765625,8.132049560546875,1.65,1.6199999641627072,16,562.7927775367714,140.69819438419285,552.6033015626473
d_M5,dy02,0.2,270.0,270.0089416503906,0.008941650390625,8.132049560546875,1.65,1.6199999641627072,16,631.7014369096676,157.9253592274169,522.091511439635
d_M5,dy02,0.2,280.0,280.01068115234375,0.01068115234375,8.132049560546875,1.65,1.6199999641627072,16,360.03919652612865,90.00979913153216,355.26308402014297
d_M5,dy02,0.2,290.0,290.0057678222656,0.005767822265625,8.132049560546875,1.65,1.6199999641627072,16,377.7579304390389,94.43948260975972,372.8035839993963
d_M5,dy02,0.2,300.0,300.0,0.0,8.132049560546875,1.65,1.6199999641627072,16,339.53084768924055,84.88271192231014,326.7537524575613
dq_M5,dy02,0.2,0.0,0.0,0.0,8.132049560546875,1.65,1.6199999641627072,16,580.2683902891357,145.06709757228393,227.45762711864413
dq_M5,dy02,0.2,10.0,10.006834983825684,0.006834983825683594,8.132049560546875,1.65,1.6199999641627072,16,501.51791626763054,125.37947906690763,212.64492554462007
dq_M5,dy02,0.2,20.0,20.000368118286133,0.0003681182861328125,8.132049560546875,1.65,1.6199999641627072,16,641.7044015650755,160.42610039126888,498.85151877490716
dq_M5,dy02,0.2,30.0,30.00543975830078,0.00543975830078125,8.132049560546875,1.65,1.6199999641627072,16,1332.4159211262374,333.10398028155936,885.9765173223641
dq_M5,dy02,0.2,40.0,40.00568771362305,0.005687713623046875,8.132049560546875,1.65,1.6199999641627072,16,689.7202754970934,172.43006887427336,661.7499518464218
dq_M5,dy02,0.2,50.0,50.007999420166016,0.007999420166015625,8.132049560546875,1.65,1.6199999641627072,16,553.642901106491,138.41072527662274,540.6010193480453
dq_M5,dy02,0.2,60.0,60.002803802490234,0.002803802490234375,8.132049560546875,1.65,1.6199999641627072,16,695.4111512804038,173.85278782010096,689.0956216337842
dq_M5,dy02,0.2,70.0,70.00408172607422,0.00408172607421875,8.132049560546875,1.65,1.6199999641627072,16,431.3100065298346,107.82750163245865,405.2589381359446
dq_M5,dy02,0.2,80.0,80.00511169433594,0.0051116943359375,8.132049560546875,1.65,1.6199999641627072,16,660.4487051327569,165.11217628318923,652.4705337230362
dq_M5,dy02,0.2,90.0,90.00167846679688,0.001678466796875,8.132049560546875,1.65,1.6199999641627072,16,571.5154204685119,142.87885511712798,545.9913889555247
dq_M5,dy02,0.2,100.0,100.00457000732422,0.00457000732421875,8.132049560546875,1.65,1.6199999641627072,16,467.8284167058883,116.95710417647207,458.0118518383839
dq_M5,dy02,0.2,110.0,110.00169372558594,0.0016937255859375,8.132049560546875,1.65,1.6199999641627072,16,466.68897709062986,116.67224427265747,459.2335876223933
dq_M5,dy02,0.2,120.0,120.00157928466797,0.00157928466796875,8.132049560546875,1.65,1.6199999641627072,16,702.6573943387169,175.66434858467923,416.16072727661276
dq_M5,dy02,0.2,130.0,130.00796508789062,0.007965087890625,8.132049560546875,1.65,1.6199999641627072,16,440.9074885430518,110.22687213576295,425.2933241696044
dq_M5,dy02,0.2,140.0,140.00938415527344,0.0093841552734375,8.132049560546875,1.65,1.6199999641627072,16,890.7084652816338,222.67711632040846,687.1157634691709
dq_M5,dy02,0.2,150.0,150.00335693359375,0.00335693359375,8.132049560546875,1.65,1.6199999641627072,16,480.9494408445701,120.23736021114253,475.1140167895286
dq_M5,dy02,0.2,160.0,160.00360107421875,0.00360107421875,8.132049560546875,1.65,1.6199999641627072,16,439.1769311749577,109.79423279373943,411.0034565709708
dq_M5,dy02,0.2,170.0,170.00840759277344,0.0084075927734375,8.132049560546875,1.65,1.6199999641627072,16,803.1895518948953,200.79738797372383,671.6067933985328
dq_M5,dy02,0.2,180.0,180.00643920898438,0.006439208984375,8.132049560546875,1.65,1.6199999641627072,16,506.168050203073,126.54201255076825,499.2391352674538
dq_M5,dy02,0.2,190.0,190.00473022460938,0.004730224609375,8.132049560546875,1.65,1.6199999641627072,16,858.1380391434564,214.5345097858641,726.2976823872748
dq_M5,dy02,0.2,200.0,200.0076446533203,0.0076446533203125,8.132049560546875,1.65,1.6199999641627072,16,411.63939690518123,102.90984922629531,390.38991220517187
dq_M5,dy02,0.2,210.0,210.00909423828125,0.00909423828125,8.132049560546875,1.65,1.6199999641627072,16,943.1817815531277,235.79544538828193,766.9100482799848
dq_M5,dy02,0.2,220.0,220.0034942626953,0.0034942626953125,8.132049560546875,1.65,1.6199999641627072,16,347.9717435789012,86.9929358947253,337.56717274641244
dq_M5,dy02,0.2,230.0,230.00086975097656,0.0008697509765625,8.132049560546875,1.65,1.6199999641627072,16,465.3204451541096,116.3301112885274,458.6276633690204
dq_M5,dy02,0.2,240.0,240.00914001464844,0.0091400146484375,8.132049560546875,1.65,1.6199999641627072,16,430.57556242629965,107.64389060657491,424.69124825581434
dq_M5,dy02,0.2,250.0,250.0065155029297,0.0065155029296875,8.132049560546875,1.65,1.6199999641627072,16,424.3463008120833,106.08657520302083,358.3508063131013
dq_M5,dy02,0.2,260.0,260.0009460449219,0.000946044921875,8.132049560546875,1.65,1.6199999641627072,16,491.9594758899013,122.98986897247532,479.93317230699336
dq_M5,dy02,0.2,270.0,270.0084228515625,0.0084228515625,8.132049560546875,1.65,1.6199999641627072,16,562.0866715956228,140.5216678989057,553.8532873135529
dq_M5,dy02,0.2,280.0,280.0022888183594,0.002288818359375,8.132049560546875,1.65,1.6199999641627072,16,505.2506700579141,126.31266751447852,501.8360045791529
dq_M5,dy02,0.2,290.0,290.0093994140625,0.0093994140625,8.132049560546875,1.65,1.6199999641627072,16,650.5277710537712,162.6319427634428,637.7901200931531
dq_M5,dy02,0.2,300.0,300.0,0.0,8.132049560546875,1.65,1.6199999641627072,16,437.21458208202563,109.30364552050641,433.072324003065
