Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 6.803E+00, 3.472E+02, 1.785E+02, 2.695E+02, 4.223E+01, 1.009E+02, 1.623E+02, 1.550E-02, 1.300E+02, 8.050E+00, 5.460E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.300E+03
    1, 9.822E+00, 3.074E+02, 1.540E+02, 2.335E+02, 4.159E+01, 8.867E+01, 1.652E+02, 1.395E-02, 1.053E+02, 3.071E+01, 1.640E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.300E+03
    2, 5.098E+00, 3.441E+02, 1.750E+02, 2.837E+02, 4.310E+01, 9.178E+01, 1.592E+02, 1.289E-02, 1.270E+02, 5.686E+00, 6.547E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.300E+03
    3, 1.376E+01, 3.075E+02, 1.544E+02, 2.483E+02, 4.085E+01, 7.153E+01, 1.687E+02, 1.503E-02, 1.012E+02, 5.759E+00, 1.882E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.300E+03
