Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 2.601E+01, 6.031E+02, 3.155E+02, 5.594E+02, 1.383E+02, 2.321E+02, 1.255E+02, 2.512E-02, 2.052E+02, 1.274E+01, 3.327E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
    1, 3.793E+01, 5.219E+02, 2.614E+02, 4.469E+02, 1.427E+02, 1.355E+02, 1.297E+02, 2.332E-02, 1.655E+02, 5.060E+01, 6.585E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
    2, 1.453E+01, 5.954E+02, 2.838E+02, 5.705E+02, 1.389E+02, 2.710E+02, 9.089E+01, 2.141E-02, 2.337E+02, 1.383E+01, 3.380E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
    3, 1.991E+01, 5.743E+02, 2.623E+02, 4.689E+02, 1.433E+02, 2.173E+02, 1.079E+02, 2.681E-02, 2.140E+02, 1.286E+01, 5.297E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
    4, 2.195E+01, 5.705E+02, 3.199E+02, 5.818E+02, 1.330E+02, 2.055E+02, 8.738E+01, 2.092E-02, 1.928E+02, 1.774E+01, 4.199E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
    5, 3.505E+01, 5.098E+02, 2.674E+02, 5.136E+02, 1.339E+02, 1.185E+02, 1.193E+02, 2.164E-02, 1.494E+02, 1.258E+01, 6.911E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
    6, 4.259E+01, 4.615E+02, 2.366E+02, 4.162E+02, 1.220E+02, 1.380E+02, 1.068E+02, 2.104E-02, 1.565E+02, 9.636E+00, 8.607E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
    7, 5.225E+01, 4.387E+02, 2.305E+02, 3.763E+02, 1.192E+02, 1.084E+02, 1.392E+02, 2.969E-02, 1.433E+02, 9.373E+00, 9.333E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
    8, 2.316E+01, 5.968E+02, 3.430E+02, 5.437E+02, 1.463E+02, 1.964E+02, 1.060E+02, 2.262E-02, 2.006E+02, 1.260E+01, 3.820E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
    9, 3.364E+01, 5.231E+02, 2.703E+02, 4.420E+02, 1.412E+02, 1.358E+02, 1.198E+02, 2.205E-02, 1.742E+02, 5.614E+01, 6.544E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
   10, 1.455E+01, 5.884E+02, 3.295E+02, 5.696E+02, 1.462E+02, 2.723E+02, 8.721E+01, 2.061E-02, 2.489E+02, 1.436E+01, 2.794E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
   11, 1.384E+01, 5.847E+02, 2.932E+02, 4.892E+02, 1.456E+02, 2.309E+02, 9.814E+01, 2.157E-02, 2.231E+02, 1.707E+01, 4.547E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
   12, 1.289E+01, 5.956E+02, 3.195E+02, 5.394E+02, 1.368E+02, 2.432E+02, 7.672E+01, 2.025E-02, 2.142E+02, 1.367E+01, 3.985E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
   13, 2.080E+01, 5.452E+02, 2.925E+02, 5.049E+02, 1.395E+02, 1.566E+02, 1.010E+02, 2.317E-02, 1.879E+02, 1.200E+01, 5.901E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
   14, 4.442E+01, 5.021E+02, 2.485E+02, 4.387E+02, 1.238E+02, 1.541E+02, 9.332E+01, 2.032E-02, 1.786E+02, 9.744E+00, 7.573E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
   15, 5.617E+01, 4.622E+02, 2.386E+02, 3.668E+02, 1.230E+02, 1.136E+02, 1.313E+02, 2.326E-02, 1.732E+02, 9.346E+00, 8.761E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.551E+03
