C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14
 2.0717059E+002, 2.0424354E+002, 2.0193997E+002, 2.0001679E+002, 1.9879678E+002, 1.9779051E+002, 1.9737187E+002, 1.9705473E+002, 1.9773534E+002, 1.9906174E+002, 2.0289213E+002, 2.0778611E+002, 2.1766430E+002, 2.2259964E+002, 2.3272310E+002
 2.0872173E+002, 2.0640892E+002, 2.0443649E+002, 2.0257970E+002, 2.0132766E+002, 2.0060318E+002, 2.0051291E+002, 2.0052384E+002, 2.0136575E+002, 2.0285539E+002, 2.0693857E+002, 2.1283307E+002, 2.2207791E+002, 2.2996158E+002, 2.3645446E+002
 2.1071489E+002, 2.0881145E+002, 2.0694526E+002, 2.0479360E+002, 2.0356986E+002, 2.0302582E+002, 2.0322675E+002, 2.0363510E+002, 2.0472582E+002, 2.0608880E+002, 2.0971718E+002, 2.1552519E+002, 2.2427298E+002, 2.3227367E+002, 2.3793354E+002
 2.1403828E+002, 2.1231940E+002, 2.1039732E+002, 2.0812952E+002, 2.0667194E+002, 2.0592687E+002, 2.0612372E+002, 2.0678924E+002, 2.0801231E+002, 2.0964760E+002, 2.1316633E+002, 2.1898620E+002, 2.2739024E+002, 2.3534227E+002, 2.3975117E+002
 2.1902321E+002, 2.1727490E+002, 2.1540775E+002, 2.1309636E+002, 2.1143392E+002, 2.1043639E+002, 2.1022055E+002, 2.1065438E+002, 2.1185802E+002, 2.1365316E+002, 2.1672570E+002, 2.2211881E+002, 2.2981532E+002, 2.3703449E+002, 2.4116700E+002
 2.2599641E+002, 2.2385275E+002, 2.2185179E+002, 2.1955282E+002, 2.1784823E+002, 2.1667857E+002, 2.1604232E+002, 2.1618352E+002, 2.1705860E+002, 2.1854525E+002, 2.2125991E+002, 2.2622526E+002, 2.3327400E+002, 2.3957511E+002, 2.4256296E+002
 2.3553305E+002, 2.3301460E+002, 2.3035700E+002, 2.2794019E+002, 2.2644147E+002, 2.2531199E+002, 2.2456673E+002, 2.2438573E+002, 2.2480166E+002, 2.2570077E+002, 2.2779689E+002, 2.3141747E+002, 2.3692381E+002, 2.4187254E+002, 2.4368410E+002
 2.4883674E+002, 2.4638535E+002, 2.4338140E+002, 2.4079287E+002, 2.3917344E+002, 2.3781366E+002, 2.3679847E+002, 2.3600999E+002, 2.3579332E+002, 2.3595994E+002, 2.3668095E+002, 2.3826718E+002, 2.4139449E+002, 2.4473367E+002, 2.4452932E+002
 2.6268946E+002, 2.6047824E+002, 2.5773647E+002, 2.5526182E+002, 2.5325071E+002, 2.5154919E+002, 2.5010965E+002, 2.4876792E+002, 2.4768132E+002, 2.4687470E+002, 2.4628899E+002, 2.4629717E+002, 2.4688874E+002, 2.4753374E+002, 2.4483054E+002
 2.7664510E+002, 2.7445838E+002, 2.7191103E+002, 2.6931271E+002, 2.6679884E+002, 2.6449761E+002, 2.6226162E+002, 2.6012832E+002, 2.5805623E+002, 2.5599899E+002, 2.5410543E+002, 2.5233021E+002, 2.5055224E+002, 2.4873698E+002, 2.4454118E+002
