C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 1.7221103E+002, 1.7029338E+002, 1.6953956E+002, 1.6918575E+002, 1.6918051E+002, 1.6901846E+002, 1.6912694E+002, 1.6952133E+002, 1.6972929E+002, 1.7060512E+002, 1.7169375E+002, 1.7420426E+002, 1.7478573E+002, 1.8051632E+002, 1.9127012E+002,NaN,NaN
 1.7372102E+002, 1.7237704E+002, 1.7180829E+002, 1.7118934E+002, 1.7109246E+002, 1.7119176E+002, 1.7187064E+002, 1.7234577E+002, 1.7274006E+002, 1.7408192E+002, 1.7523027E+002, 1.7965329E+002, 1.8349665E+002, 1.9184133E+002, 2.0172783E+002,NaN,NaN
 1.7506539E+002, 1.7399411E+002, 1.7326745E+002, 1.7227713E+002, 1.7219152E+002, 1.7242600E+002, 1.7340007E+002, 1.7391113E+002, 1.7430495E+002, 1.7564660E+002, 1.7687067E+002, 1.8240687E+002, 1.8794944E+002, 1.9633831E+002, 2.0591369E+002,NaN,NaN
 1.7661671E+002, 1.7563774E+002, 1.7483489E+002, 1.7361325E+002, 1.7357676E+002, 1.7386509E+002, 1.7491091E+002, 1.7536368E+002, 1.7585777E+002, 1.7723924E+002, 1.7875573E+002, 1.8496700E+002, 1.9104225E+002, 1.9886325E+002, 2.0769520E+002,NaN,NaN
 1.8066137E+002, 1.7911608E+002, 1.7804436E+002, 1.7685369E+002, 1.7706333E+002, 1.7744233E+002, 1.7824029E+002, 1.7854857E+002, 1.7883722E+002, 1.8049415E+002, 1.8218179E+002, 1.8856189E+002, 1.9450966E+002, 2.0208888E+002, 2.0986371E+002,NaN,NaN
 1.8327042E+002, 1.8156785E+002, 1.8044127E+002, 1.7913746E+002, 1.7936519E+002, 1.7962877E+002, 1.8043352E+002, 1.8072603E+002, 1.8087667E+002, 1.8258450E+002, 1.8412320E+002, 1.9035734E+002, 1.9642736E+002, 2.0346615E+002, 2.1082917E+002,NaN,NaN
 1.8662892E+002, 1.8498386E+002, 1.8384911E+002, 1.8226035E+002, 1.8219332E+002, 1.8233145E+002, 1.8284870E+002, 1.8318412E+002, 1.8336453E+002, 1.8478089E+002, 1.8631786E+002, 1.9253497E+002, 1.9860275E+002, 2.0540937E+002, 2.1171638E+002,NaN,NaN
 1.9653337E+002, 1.9494988E+002, 1.9369334E+002, 1.9184789E+002, 1.9116481E+002, 1.9052639E+002, 1.8965524E+002, 1.8963956E+002, 1.8987852E+002, 1.9121525E+002, 1.9295357E+002, 1.9884147E+002, 2.0409705E+002, 2.0961463E+002, 2.1308938E+002,NaN,NaN
 2.0299416E+002, 2.0163561E+002, 2.0031895E+002, 1.9804183E+002, 1.9701441E+002, 1.9636950E+002, 1.9541032E+002, 1.9523558E+002, 1.9546552E+002, 1.9617025E+002, 1.9756421E+002, 2.0266501E+002, 2.0703848E+002, 2.1161373E+002, 2.1362480E+002,NaN,NaN
 2.1171453E+002, 2.1043534E+002, 2.0900654E+002, 2.0626521E+002, 2.0535645E+002, 2.0480745E+002, 2.0362644E+002, 2.0318455E+002, 2.0310128E+002, 2.0316229E+002, 2.0384948E+002, 2.0727051E+002, 2.1043336E+002, 2.1373767E+002, 2.1395558E+002,NaN,NaN
 2.3493726E+002, 2.3328115E+002, 2.3170326E+002, 2.2837841E+002, 2.2686750E+002, 2.2557648E+002, 2.2313967E+002, 2.2201291E+002, 2.2110603E+002, 2.1967355E+002, 2.1911950E+002, 2.1814227E+002, 2.1787489E+002, 2.1770834E+002, 2.1387195E+002,NaN,NaN
 2.4671906E+002, 2.4451367E+002, 2.4235720E+002, 2.3815604E+002, 2.3619373E+002, 2.3430945E+002, 2.3091171E+002, 2.2929488E+002, 2.2772605E+002, 2.2467603E+002, 2.2322074E+002, 2.2055312E+002, 2.1927148E+002, 2.1795626E+002, 2.1320716E+002,NaN,NaN
