,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-23T15:26:48.267+09:00, 0.687E-01,   0.06875, 0.52800E+02
       2,2026-06-23T15:26:48.669+09:00, 0.687E-01,   0.13749, 0.53202E+02
       3,2026-06-23T15:26:49.182+09:00, 0.687E-01,   0.20624, 0.53715E+02
       4,2026-06-23T15:26:49.585+09:00, 0.687E-01,   0.27498, 0.54117E+02
       5,2026-06-23T15:26:49.976+09:00, 0.687E-01,   0.34373, 0.54508E+02
       6,2026-06-23T15:26:53.476+09:00, 0.687E-01,   0.41248, 0.55557E+02
       7,2026-06-23T15:26:53.870+09:00, 0.687E-01,   0.48122, 0.55950E+02
       8,2026-06-23T15:26:54.272+09:00, 0.687E-01,   0.54997, 0.56353E+02
       9,2026-06-23T15:26:54.787+09:00, 0.687E-01,   0.61872, 0.56867E+02
      10,2026-06-23T15:26:55.189+09:00, 0.687E-01,   0.68746, 0.57269E+02
      20,2026-06-23T15:27:07.045+09:00, 0.687E-01,   1.37492, 0.62211E+02
      30,2026-06-23T15:27:41.606+09:00, 0.687E-01,   2.06239, 0.85043E+02
      40,2026-06-23T15:27:55.172+09:00, 0.358E-01,   2.57052, 0.91239E+02
      50,2026-06-23T15:28:00.102+09:00, 0.244E-01,   2.85217, 0.96167E+02
      60,2026-06-23T15:28:09.071+09:00, 0.208E-01,   3.07844, 0.10131E+03
      70,2026-06-23T15:28:18.004+09:00, 0.180E-01,   3.25842, 0.10627E+03
      80,2026-06-23T15:28:22.671+09:00, 0.159E-01,   3.42172, 0.11093E+03
      90,2026-06-23T15:28:27.615+09:00, 0.141E-01,   3.57193, 0.11583E+03
     100,2026-06-23T15:28:37.653+09:00, 0.125E-01,   3.70526, 0.12105E+03
     200,2026-06-23T15:30:01.777+09:00, 0.101E-01,   4.80797, 0.19129E+03
     300,2026-06-23T15:30:55.739+09:00, 0.763E-02,   5.67076, 0.24243E+03
     400,2026-06-23T15:32:22.242+09:00, 0.680E-02,   6.37523, 0.31465E+03
     500,2026-06-23T15:33:18.214+09:00, 0.680E-02,   7.05482, 0.36515E+03
     600,2026-06-23T15:34:12.206+09:00, 0.671E-02,   7.67311, 0.41633E+03
     700,2026-06-23T15:35:31.897+09:00, 0.587E-02,   8.24423, 0.48836E+03
     800,2026-06-23T15:36:25.629+09:00, 0.574E-02,   8.79277, 0.53917E+03
     900,2026-06-23T15:37:20.704+09:00, 0.511E-02,   9.33482, 0.58971E+03
    1000,2026-06-23T15:38:15.039+09:00, 0.563E-02,   9.86155, 0.63977E+03
    1100,2026-06-23T15:39:35.653+09:00, 0.552E-02,  10.40782, 0.71269E+03
    1200,2026-06-23T15:40:30.289+09:00, 0.535E-02,  10.94870, 0.76376E+03
    1300,2026-06-23T15:41:22.180+09:00, 0.521E-02,  11.49122, 0.81430E+03
    1400,2026-06-23T15:42:53.553+09:00, 0.521E-02,  12.01196, 0.89471E+03
    1500,2026-06-23T15:43:45.855+09:00, 0.510E-02,  12.57251, 0.94577E+03
    1600,2026-06-23T15:44:40.011+09:00, 0.562E-02,  13.11209, 0.99644E+03
    1700,2026-06-23T15:45:32.580+09:00, 0.531E-02,  13.65098, 0.10475E+04
    1800,2026-06-23T15:47:11.713+09:00, 0.524E-02,  14.20101, 0.11350E+04
    1900,2026-06-23T15:48:04.147+09:00, 0.576E-02,  14.75928, 0.11861E+04
    2000,2026-06-23T15:48:59.733+09:00, 0.569E-02,  15.32127, 0.12379E+04
    2100,2026-06-23T15:49:54.594+09:00, 0.553E-02,  15.88594, 0.12894E+04
    2200,2026-06-23T15:51:43.989+09:00, 0.586E-02,  16.45886, 0.13825E+04
    2300,2026-06-23T15:52:38.581+09:00, 0.570E-02,  17.02736, 0.14337E+04
    2400,2026-06-23T15:53:30.674+09:00, 0.562E-02,  17.58413, 0.14839E+04
    2500,2026-06-23T15:54:53.540+09:00, 0.618E-02,  18.18236, 0.15545E+04
    2600,2026-06-23T15:55:50.996+09:00, 0.603E-02,  18.74120, 0.16060E+04
    2700,2026-06-23T15:56:44.411+09:00, 0.571E-02,  19.32281, 0.16577E+04
    2800,2026-06-23T15:57:43.014+09:00, 0.556E-02,  19.90802, 0.17110E+04
    2900,2026-06-23T15:59:03.665+09:00, 0.600E-02,  20.48179, 0.17787E+04
    3000,2026-06-23T16:00:02.632+09:00, 0.579E-02,  21.07208, 0.18311E+04
    3100,2026-06-23T16:00:58.598+09:00, 0.628E-02,  21.67948, 0.18833E+04
    3200,2026-06-23T16:02:15.982+09:00, 0.613E-02,  22.26774, 0.19510E+04
    3300,2026-06-23T16:03:13.496+09:00, 0.602E-02,  22.85600, 0.20033E+04
    3400,2026-06-23T16:04:08.665+09:00, 0.663E-02,  23.46509, 0.20552E+04
