Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 1.340E+02, 9.814E+03, 4.169E+03, 7.319E+03, 2.661E+03, 2.123E+03, 5.163E+03, 1.581E-01, 3.449E+03, 2.463E+02, 3.690E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    1, 1.075E+02, 9.497E+03, 4.736E+03, 7.296E+03, 2.800E+03, 2.384E+03, 5.093E+03, 1.577E-01, 3.280E+03, 2.375E+02, 3.338E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    2, 1.899E+02, 8.804E+03, 3.952E+03, 6.006E+03, 2.683E+03, 1.515E+03, 5.233E+03, 1.533E-01, 2.630E+03, 3.720E+02, 7.383E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    3, 1.959E+02, 9.071E+03, 4.241E+03, 6.648E+03, 2.514E+03, 1.364E+03, 5.202E+03, 1.438E-01, 2.730E+03, 2.145E+02, 6.587E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    4, 1.029E+02, 9.115E+03, 4.821E+03, 7.445E+03, 2.754E+03, 2.590E+03, 4.936E+03, 1.669E-01, 3.413E+03, 2.617E+02, 3.330E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    5, 3.947E+01, 7.259E+03, 4.498E+03, 8.134E+03, 2.071E+03, 3.325E+03, 4.856E+03, 1.748E-01, 4.398E+03, 2.986E+02, 3.887E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    6, 1.083E+02, 9.435E+03, 4.361E+03, 6.130E+03, 2.071E+03, 2.099E+03, 4.875E+03, 1.445E-01, 3.041E+03, 2.046E+02, 6.443E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    7, 9.542E+01, 9.744E+03, 4.730E+03, 7.263E+03, 2.877E+03, 2.228E+03, 4.787E+03, 1.602E-01, 3.433E+03, 2.302E+02, 3.380E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    8, 7.734E+01, 8.407E+03, 5.136E+03, 7.970E+03, 1.922E+03, 2.836E+03, 4.353E+03, 1.574E-01, 3.875E+03, 2.753E+02, 3.918E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    9, 1.828E+02, 7.788E+03, 5.247E+03, 1.103E+04, 1.357E+03, 1.828E+03, 4.856E+03, 1.938E-01, 3.823E+03, 4.496E+02, 2.203E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   10, 3.134E+02, 7.849E+03, 4.834E+03, 1.112E+04, 9.911E+02, 1.194E+03, 5.118E+03, 1.936E-01, 3.328E+03, 4.575E+02, 3.566E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   11, 1.373E+02, 9.310E+03, 4.257E+03, 7.147E+03, 2.011E+03, 1.556E+03, 4.790E+03, 1.516E-01, 2.766E+03, 2.004E+02, 6.593E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   12, 9.506E+01, 9.029E+03, 5.225E+03, 8.195E+03, 1.817E+03, 2.375E+03, 4.440E+03, 1.820E-01, 3.808E+03, 2.726E+02, 3.513E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   13, 1.784E+02, 8.720E+03, 5.106E+03, 9.195E+03, 1.689E+03, 1.858E+03, 4.961E+03, 1.598E-01, 3.461E+03, 3.579E+02, 3.240E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   14, 2.665E+02, 8.710E+03, 4.703E+03, 9.375E+03, 1.650E+03, 1.373E+03, 5.173E+03, 1.727E-01, 3.125E+03, 3.496E+02, 4.043E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   15, 1.675E+02, 9.485E+03, 4.468E+03, 7.150E+03, 1.861E+03, 1.339E+03, 5.060E+03, 1.335E-01, 2.816E+03, 1.978E+02, 6.225E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   16, 1.342E+02, 9.836E+03, 4.973E+03, 7.407E+03, 2.660E+03, 2.116E+03, 4.866E+03, 1.608E-01, 3.389E+03, 2.422E+02, 3.147E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   17, 1.026E+02, 9.690E+03, 4.695E+03, 7.290E+03, 2.869E+03, 2.286E+03, 4.900E+03, 1.565E-01, 3.239E+03, 2.381E+02, 3.458E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   18, 1.848E+02, 8.750E+03, 3.957E+03, 6.096E+03, 2.695E+03, 1.506E+03, 4.989E+03, 1.484E-01, 2.676E+03, 3.577E+02, 7.556E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   19, 1.764E+02, 9.092E+03, 4.282E+03, 6.711E+03, 2.509E+03, 1.343E+03, 4.899E+03, 1.262E-01, 2.782E+03, 2.377E+02, 6.736E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   20, 9.981E+01, 9.171E+03, 4.831E+03, 7.454E+03, 2.745E+03, 2.561E+03, 4.573E+03, 1.744E-01, 3.460E+03, 2.613E+02, 3.613E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   21, 6.602E+01, 8.820E+03, 4.839E+03, 7.169E+03, 2.954E+03, 2.900E+03, 4.602E+03, 1.514E-01, 3.631E+03, 2.534E+02, 3.535E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   22, 9.737E+01, 9.549E+03, 4.403E+03, 6.395E+03, 2.968E+03, 2.036E+03, 4.713E+03, 1.306E-01, 3.200E+03, 2.180E+02, 5.188E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   23, 9.423E+01, 9.734E+03, 4.606E+03, 7.151E+03, 2.869E+03, 2.156E+03, 4.764E+03, 1.306E-01, 3.278E+03, 2.226E+02, 3.893E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   24, 7.023E+01, 8.318E+03, 5.139E+03, 8.084E+03, 2.447E+03, 2.846E+03, 4.298E+03, 1.589E-01, 3.901E+03, 2.765E+02, 3.389E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   25, 1.168E+02, 9.095E+03, 4.724E+03, 7.374E+03, 2.006E+03, 2.145E+03, 4.857E+03, 1.675E-01, 3.274E+03, 2.851E+02, 4.892E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   26, 1.455E+02, 9.280E+03, 4.502E+03, 7.634E+03, 1.926E+03, 1.699E+03, 5.050E+03, 1.612E-01, 3.255E+03, 2.677E+02, 5.009E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
